id,tomato_score,review_text
1,positive,"Ultimately, “John Wick” is a testament to the fact that plots don’t matter; it’s how stories are told that actually does. The film knows precisely what kind of movie it is: one that kicks serious ass and provides moviegoers a fantastic time out."
2,positive,"John Wick is pure TNT and without a doubt, Keanu Reeves' best movie since The Matrix (1999). [Full review in Spanish]"
3,positive,"Unrefined, stilted, and rough in places, the film’s leanness and coherent action can’t make up for the fact that Keanu Reeves is close to wooden and doesn’t offer much as an actor."
4,positive,"Another aspect of John Wick that is worthy of note is its world-building. Written by Derek Kolstad, the story is full of little details that leave us wondering about this uncanny universe."
5,positive,"The action is undeniably exciting and unconventional, but what really drives the picture is the emotional weight of the story and Reeves' morose performance."
6,positive,"As you would expect from former stunt coordinators, the action scenes are dynamic and that might be enough, but the emotional thread that motivates Chapter One is exceptionally constructed, justifying much of the rage and murder."
7,negative,"Even with the CGI taken out, the trade of po-faced filler for action righteousness is still in effect."
8,positive,"It’s definitely a movie made for a particular audience, and if wall-to-wall action and stylized violence isn’t your cup of tea, neither is “John Wick”."
9,positive,"For all of its familiar plot elements, the movie knows when to step back, let Keanu do his thing, and watch the impressive fight and gunplay choreography throughout."
10,positive,The directors find new ways to stage and frame these deadly encounters in a way that constantly feels fresh and exciting.
11,positive,The original John Wick showed beloved icon Keanu Reeves still had plenty of action in him post-Matrix.
12,positive,Wick is so tough he doesn't bother to take off his blood-soaked shirt when he starts his quest for vengeance and the movie is just as uncompromising.
13,negative,"Rock music, cold stares, and plenty of bullets emphasize Wick's proficiency, as the plot needs all the help it can get to impart the coolness it desperately wants to exhibit."
14,positive,"For a dour narrative about death, loss, and violence, it's surprisingly good natured."
15,positive,"Just when i thought that Keanu Reeves had retired from the action genre, he appears back and in revenge mode with the amazing John Wick. [Full review in Spanish]"
16,negative,"John Wick is the slick, empty, cruel hero the age of Trump deserves - but hey, at least he likes dogs!"
17,positive,"Occasionally ridiculous, it is action-packed, stylish and a return to form for Mr Reeves."
18,positive,The script defines an amazing microcosm that surrounds the profession of the protagonist. [Full Review in Spanish]
19,positive,"Simply put, John Wick is probably one of the best action movies in a decade. From an efficient story to incredible fight sequences and an action start that just doesn't seem to quite, John Wick is as close to perfect as I've ever seen."
20,positive,"Directed by long-time stuntmen David Leitch and Chad Stahelski, it is exactly the sort of movie you would expect from long-time stuntmen: brutal, close-up fighting, nearly nonstop gunplay and the slightest story legally allowed."
21,positive,"Why does it work? That's probably a better question. On paper, this movie falls somewhere between Commando and Taken in terms of getting from Point A to Point B, but in execution, John Wick just feels like a special journey."
22,positive,"Fast, fun, and with care taken on elements outside of the requisite action sequences, it's a film that succeeds in generally conquering the fatigue of its own familiarity."
23,negative,John Wick is the sort of mindless movie that you get when you give two long-time stunt men (David Leitch and Chad Stahelski) the directorial reins.
24,positive,"Once the wick is lit (pun, unfortunately, intended), the candle of vengeance burns for the entirety of the film."
25,positive,A perfectly assembled cast and confident direction turn this B-movie thriller into an instant classic.
26,positive,"John Wick is a lean, mean revenger to go with its ice-cold protagonist. It's not perfect, but you'll be hard pressed to find a more enjoyable action movie this year."
27,positive,"On paper, there are many elements in this movie's plot which you have seen before in other films. However, directors David Leitch and Chad Stahlelski still manage to weave an entertaining non-stop action film."
28,positive,...my truly guilty pleasure of the year.
29,positive,"An ex-hitman and his dog, who has such a sad plot-line I'm not even going to delve into the question of whether you should give someone a pet as a present. The violence is a murderous ballet, in a compelling underground world of self-contained perfection."
30,positive,"This movie is great. It is what it is: just an old-school shoot-'em-up revenge flick. The action is incredible, and Reeves is phenomenal."
31,positive,John Wick is a fun action spectacle with a pulse-pounding score that is smart enough to cast an actor against type who is committed completely to this abusive insanity.
32,positive,"Bloody and effective, but even more than a cathartic bloodbath, it offers laughter and puppies."
33,positive,One delightful surprise in the film was the creation of the hit man subculture.
34,positive,"John Wick adapts the same gasp and giggle formula, and while far from perfect, its charm, slickness, and invention make it a perfectly moreish popcorn movie."
35,positive,"...it's exciting, the fights are impressively choreographed, direction is very stylish, and it's excellent on a technical level. [Full review in Spanish]"
36,positive,"If Keanu Reeves can make a comeback with John Wick, then I hope John Wick can make a case that there is an audience for cheesy action flicks of yesteryear in modern cinema"
37,positive,"This revenge film looks slick, stylish and despite its camp story line, keeps you engrossed throughout with a strong impact."
38,positive,"... the kind of action movie that Hollywood rarely makes anymore: simple, streamlined, with action scenes that rely on physical rather than computer generated elements."
39,positive,"It's a rare screenplay that can introduce a compelling action character, create an entire world just beneath our own, and entertainingly destroy it from the inside out all in a hundred minutes."
40,positive,"John Wick is a slick gangster flick simmering in a suppurating green light, featuring Reeves as a kung-fu assassin pursuing... well, the plot's not really important. What is important is the fact that Reeves is still doing this at 50."
41,positive,"It is a wildly entertaining film, from the action scenes, to the sets, to the soundtrack, and in addition, it will likely be known as the comeback role for Keanu Reeves."
42,positive,...depicts a man who unleashes his mourning on the world.
43,positive,"John Wick is the platonic ideal of a disposable action movie. It gives you everything you want, nothing you don't, and gets you in and out of the theater."
44,positive,"John Wick has a more identifiable ancestry: the chic, sleek and widely imitated South Korean gangster film. The copy is not as effective as the original, but at 101 minutes, it's at least efficient."
45,positive,"Mindless fun on top of mindless fun, a one-note work with nothing at all to say, content to hit the same note for 90 minutes straight."
46,positive,"This is an achievement on an action level that might not break new ground, but it's an extremely focused and competent crowd-pleaser."
47,positive,[A] blisteringly fun action romp.
48,positive,"If John Wick is the best looking action film in recent memory, it's also bolstered by a phenomenal cast of actors who, be they in parts big or small, manage to craft three-dimensional characters out of stock archetypes."
49,positive,"If you can put up with the constant gunfire and the aggressive score, John Wick offers ridiculous but satisfying action."
50,positive,"Overall, Wick is a whimsical, but satisfying shoot-'em-up. Not all of the bullets hit the mark, but that's not really the point."
