id,rating,review_text
1,5,This movie made me start watching horror movies it’s so iconic
2,4,"8 years late...but still glad to have watched Get Out .. A totally outlandish but original metaphorical storyline, backed by terrific performances by all cast members, my personal fav being Allison Williams as the girlfriend Rose Armitage, she is just brilliant! Watch Get Out for it's amazing performances, moody, eerie atmosphere (even in bright sunshine) ,crackling electric tension in every scene & piece of dialogue & it's befitting climax that will catch you by the throat ."
3,5,Original and executed so well. We will remember this movie centuries from now.
4,5,"It’s one of the rare movies I’d rewatch. The mix of shadowy, dark scenes and bright, intense moments gives it a unique vibe."
5,4.5,A solid movie that I enjoyed watching every single minute of it
6,5,"The film builds tension through atmosphere rather than shock, relying on subtle performances, uneasy interactions, and a growing sense that something is deeply off. Peele shows remarkable control for a debut director, balancing mystery and dread while keeping the audience constantly engaged. Daniel Kaluuya anchors the film with a quiet, compelling performance that draws viewers into the story without excess dialogue or melodrama. The supporting cast adds texture and contrast, helping the world feel grounded while slowly amplifying the unease. What sets Get Out apart is its intelligence. It respects the audience, trusting them to pick up on visual cues, tone shifts, and thematic layers without spelling everything out. The film is accessible, suspenseful, and emotionally effective, making it appealing to both casual viewers and serious film fans. As a critic, Get Out stands out as a modern classic in the thriller genre smart, memorable, and confident in its storytelling proving that tension and meaning can coexist without sacrificing entertainment."
7,5,"Pretty much a perfect film, it's honestly hard to see a reason to give it less than five stars. It's funny when it needs to be and scary when it has to be. The concept is awesome and the racial themes are so well executed."
8,5,Really enjoyed this film. It isn’t super gory or gruesome but has an amazing story that you get to gradually see unfold and understand at the same time as the main character. Beautifully filmed and really well made. Will definitely be rewatching soon.
9,5,absolutely genius 🙌
10,5,I don't know if I've ever seen a film this unnerving. This makes Get Out extraordinarily unsettling and worth anyone's time.
11,5,THIS. MAN. IS. TOO. GOOD. AT. THIS JOB. There were more red flags with this family than a communist march. And it still lingers. And it gets worse the more you think about it all. What if.... this isn't quite as fictional as we hope?
12,5,The fact that the policeofficer asked for his id in the beginning and wasn’t allowed to by her tipped it over to 5 stars for me! Brilliant all throughout!!
13,5,"Get Out, a suspenseful horror blast, with lots of humor and beautiful visuals. Jordan Peele is one of the best comedian turned directors of all time, I love it so much that I saw it 5 times in the theaters. But, overall, I give Get Out a 10/10 or a 5/5 stars."
14,2,"It's well made, visually nice, artistic, an exploration of true & overlooked assumptions & somewhat tense during the first half. Daniel Kaluuya works hard in his role but it offered nothing in the way of scares. It kills drama & tension when the best friend is involved - very clichéd attempts at humour get to tone-slaughtering levels when he's on screen. It all seems very unsubtle, I'd say it was deeply political but there's too much satire for a message to stick & I'm comfortable in my opinion that this is very overrated. I can understand the timing of this movie being a big factor in its success, tackling the subject of racism in a horror sense but combining the amount of cliches, flat dialogue with a ludicrous plot involving brain transplants making no sense when those who have been given a new brain, can be ""freed"" from the control - DESPITE HAVING A NEW BRAIN... I can't rate a movie highly because it has strong moral intentions - there's no obligation because of subject matter."
15,3.5,"A black dude goes to meet his white girlfriend's parents when he starts to realize that other black people are being hypnotized. The suspense will draw you in, but it started getting a little extra with the body swap thing."
16,1,Do not watch this garbage save yourself 2h you will never get back in your life
17,2,Is it me or is it one the worst movies I‘ve seen in years? I heard so much about it and my expectations were so high. But was I saw eventually was just lame and stupid. Just a waste of time 😕
18,5,"One of the most gripping movies I’ve seen in years. For once, the hype was actually deserved. From the opening scene, it hooks you and never lets go, balancing razor-sharp tension with genuinely smart social commentary. The performances are fantastic across the board, especially Kaluuya, who carries every quiet, unsettling moment perfectly. It’s unsettling, funny, and brutal in the best way, and it sticks the landing without losing its nerve. Easily one of those movies that makes you want to rewatch it just to catch everything you missed the first time."
19,1,Terrible. I dont even know what to say. Besides dont watch this movie. Unless you are truly bored and have nothing else to do.
20,0.5,"The movie looks like it was designed against white people, had no meanings value in it. That’s my impression of it."
21,4.5,Really good. Definitely worth watching.
22,5,"I still say to this day that Get Out is an absolute psychological masterpiece. The message hits quietly at first, then builds perfectly throughout each scene. The socially awkward moments? Painfully real. The forced smiles, strange behavior, the weird awkward comments, the “did they really just say that?” energy that makes you wonder wth is going on… Theres scenes that crawl under your skin because they can and do actually happen in real life. No exaggeration, just truth in the discomfort… anyone saying the movie was bad simply doesn’t get the bigger picture OR they don’t like feeling uncomfortable by the truth lol What makes it more brilliant is the balance. It never relies on cheap jump scares; instead, it builds psychological tension that doesn’t get stagnant or boring. The creepiness is always there, the unease lingers, and the twists land perfectly all the way till the end. Idk anyone who hasn’t seen this already but if you haven’t yet then wait no more!"
23,2,Spike Jonez is overrated af. The plot is rather boring and fantastical in the sense that its over the top fiction.
24,5,I don’t like creepy or scary movies usually but this right here is the exception. I do not think I have ever seen a movie with better visual clues. The second time I watched it I realized just how many little details there were. Overall this movie is a 10.
25,1,this shit was the worse horror film I have ever seen. Do not recommend this is a complete waste of time. Story is slow and unentertaining. -100 out of 100
26,5,"Suspenseful, thrilling, original, unexpected, one of my favorites of all time."
27,3,Mediocre one-trick pony that pounds its satirical message into your head for 90 minutes.
28,4,Get Out (2017) is a film that starts very slowly to convey to the audience an atmosphere of suspense and terror that will unfold as the story progresses. The ending is wonderful; each passage of time has a dazzling conclusion.
29,5,Peele solidifies himself as a director to be reckoned with.
30,5,"If I could rewatch one movie for the first time, this just might be it. Saw it in theaters when it released and was mind blown by the plot twist. Great casting, great message, thought provoking and evokes all of your emotions. 10/10 watch it"
