id,user_rating,review_text
1,,"Altogether, as epics go, Braveheart is worthy of a skirl of the pipes and a toast in Glenmorangie."
2,3/4,The major failing of Braveheart is that it never for a moment convinces us that we've invaded a remote and alien culture. Its success is that it recaptures the high ground of movie heroism.
3,,"The film talks the stirring talk, but it can't quite walk the walk. Gibson's direction is passable, but critically absent is the panache which sweeps us up and off wherever he wants to take us."
4,,"The battle scenes, which are among the best ever seen on film, are absolutely crucial to the success of the movie. Braveheart truly deserves the description 'epic.'"
5,,"The picture is easily an hour too long, and that's a shame since Braveheart at its best -- especially in its breathtaking battle sequences -- is very good indeed."
6,,"Despite a formidable effort and occasional grace, there's something cowardly about Braveheart -- it's an aspiring giant with a diminutive soul."
7,2.5/5,"Still a novice director, Gibson feels inclined to saturate each scene and each battle sequence with heaps of atmosphere, blood, and intense passion. In a two-hour movie, it would be acceptable. But in a [three-hour] movie, it simply becomes exhausting."
8,,"For all its clichéd prattle about honor and freedom, the movie pushes the homosexual-panic button much more vigorously than any other, making Braveheart more about Gibson's idea of manhood than it is about the man he's playing."
9,3/4,"An ambitious and satisfying endeavor that establishes Mel Gibson as a director of strength and vision. Though his reach ultimately exceeds his grasp, it's a film that's worth the effort."
10,2.5/4,"Gibson learned a thing or two working for geniuses such as George Miller and Peter Weir, but he never grasped how to build suspense by delayed revelation of plot information... He has an eye -- or Toll does -- but not a thought in his head."
11,,"Braveheart has all the right ingredients for a rip-roaring saga, but Gibson overcooks the mix. The snail's-pace storytelling, overemphasis on scenery and awkward semi-mysticism scream ""epic,"" but this film too often forgets to entertain."
12,3/4,"Equal parts historical drama, romance and battlefield spectacular, it is tempting to regard Braveheart as an epic cut from an old-fashioned plaid, but old-fashioned was never quite this graphic."
13,,"[Mel Gibson] looks as though he's ready to play the Lalapalooza Festival, not a Scottish rebel. Despite all this, he remains a riveting screen presence, the star power the movie needs to give the violence meaning and heart."
14,7/10,"Braveheart may not have deserved to win Best Picture, but it's a rousing action blockbuster with breathtaking visuals and jaw-dropping battle scenes."
15,,"...a huge film with incredible action sequences, an emotional love story, and a few technical wonders... Braveheart remains a thrilling and entertaining epic"
16,,"The film is rich, multi-layered and lush."
17,,"It's unclear when Mel Gibson became a combination of Sam Peckinpah and Akira Kurosawa, but there's no question that Braveheart is one of the best epic movies of the '90s... Scene after scene takes your breath away with its sometimes cruel beauty."
18,,"In only his second film behind the camera, Gibson has crafted a historical epic, Braveheart, that stands tall among the biggest and the best: Lawrence of Arabia, Ben-Hur, El Cid."
19,,"Epic in length only and peppered with sniggering homophobia, the homage to Himself drags on for three hours going on three years."
20,,"McGoohan is terrific; half-basilisk, half brass-rubbing. Nor does the film lack power to stir and move us."
21,1.5/4,"As he did with The Man Without a Face, Gibson takes his directorial chores so seriously that he squeezes the life out of the piece."
22,,Gibson puts us in the peculiar position of longing for him to die. Braveheart overstays its welcome. It's an epic looking not only for a point but an exit line.
23,A-,"Braveheart is an astonishing spectacle of blood and heart, a virile and punishing epic, less interested in historical relevance than in grandiose myth-making."
24,2.5/4,"If Braveheart suffers from Gibson's vision and his excesses, it also accomplishes two things: It demonstrates the vast, faceless misery of war like no other movie of recent memory. And it answers the question: Just what do men wear under those kilts?"
25,C+,"Braveheart doesn't amount to much more than theatrical chest-thumping by Gibson. He clearly knows how to put a movie together, but he is going to have to get over himself before that knowledge does anyone any good."
26,3/5,"[Mel Gibson] really does put his heart into this blood-and-thunder saga, as both director and star. One result is real passion. A disastrous consequence is a self-indulgent running time."
27,2.5/4,"The bone-crunching chaos of a medieval melee has rarely been so effectively captured... That's pretty much the story on this three-hour epic -- riveting when it comes to battles and the camaraderie of fighting men, a bit shaky the rest of the time."
28,3.5/4,"With its earthy humanity, glorious landscapes and sweeping battles, Braveheart accomplishes what its makers intended: to tell a stirring story in a memorable fashion."
29,,"It's Mel Gibson's movie all the way, and he comes through triumphantly."
30,3.5/4,"Powerful, confident and fiercely unapologetic about its movie-movie sensibility, Braveheart insists that escapism needn't be synonymous with mindlessness."
31,3/4,"Gibson, who directed and produced Braveheart, has transformed himself into a believable mercenary driven by revenge, passion and love."
32,3/4,"It’s an epic with clinches on battlefields more important than those in bedrooms or council halls. On that level, it works splendidly, if with brutal violence."
33,3/4,"[Braveheart] is stirring in ways that not too many movies are, and to a degree that not too many movies achieve. You fight it, but it wins."
34,3.5/5,"Gibson is solidly on course as a director, and likewise in his element as an actor, once he stops being Mel Gibson."
35,B,I dug it. It’s not something I’m proud of. But all that wanton bloodshed eventually gets to you; the thinking part of your brain just glazes over.
