id,tomato_score,review_text
1,positive,"Looking back on one of the finest adaptations of one of the best books ever written, which also marked the film debut of the late -- and truly great -- Robert Duvall."
2,positive,One of those rare instances when a movie perfectly captures the essence of its source material without compromising it in any way.
3,positive,Peck delivers an Oscar-worthy performance in an adaptation that basically eliminates its black characters while delivering a simplistic fable on overcoming racism
4,positive,"A moving, mature and socially responsible production which emphatically reveals the power and promise latent in Hollywood and made visible only when its unique resources are properly used."
5,positive,It’s a multifaceted story that’s told with a great visual and technical style and that isn’t ashamed to address the deep-rooted problems of that day.
6,positive,"Atticus is certainly an idealistic character, but he is also a struggling father and lawyer. Gregory Peck's performance in the film is perfect for the character."
7,positive,"The movie takes on a new significance, however, in light of the toxic arguments of contemporary identity politics advocates."
8,positive,"It's so very dramatic and dynamic; it's homey without being corny, it's excellent entertainment on any level."
9,positive,"As it stands, the film is one of the most significant examples of historical horror in the American classic film canon."
10,positive,One of the greatest films of all-time.
11,positive,"Atticus Finch is a film hero in a way we don't often think about - resilient, caring, empathetic, loving, dignified, and keen to make a better world."
12,positive,"Most of the film's distinction can be attributed to the story itself, which is so masterfully orchestrated that it's difficult not to be affected by the potency of its themes."
13,positive,"The result is a rare movie, a bit too slow in spots but deeply persuasive, decent-minded but never sanctimonious."
14,positive,I think it is one of the best book to movie adaptations that has ever been done.
15,positive,Solid social conscience drama.
16,positive,"A fine, moving, informative period piece for all ages, To Kill a Mockingbird is as much an abiding favourite as the book."
17,positive,"Peck's performance, in tortoiseshell glasses and a cream linen suit, is mesmerizing and serious."
18,negative,"""To Kill a Mockingbird"" relates the Cult of Childhood to the Negro Problem with disastrous results."
19,positive,"As Mulligan so deftly demonstrates, the story is in the characters, their failings and fragility, their heroism and nobility of spirit."
20,positive,"I got so much more from this story as an adult, and it's a shame that my adolescent stubbornness kept me from the movie for so many years."
21,positive,"Because the story is related through young Scout and Jem, that childhood wonder and fear is never close behind."
22,positive,Justly celebrated.
23,negative,"To Kill a Mockingbird is a time capsule, preserving hopes and sentiments from a kinder, gentler, more naive America."
24,positive,"Harper Lee's child's-eye view of southern bigotry gains something in its translation to the screen by Robert Mulligan, who knows exactly where to place the camera to catch a child's subjective experience."
25,positive,A terrific central performance by Gregory Peck makes for an outstanding big screen adaptation of Harper Lee's classic novel.
26,negative,So much of the novel's reckless atmosphere is missing...
27,positive,"Oscar winner Gregory Peck is ideal casting as Atticus, for his Lincoln-like integrity and intelligence perfectly serve the role"
28,positive,Uneven film whose strong point is anti-racism.
29,positive,To Kill a Mockingbird should make admirers of the novel weep many times over.
30,positive,"To Kill A Mockingbird is a product of American realism, and it is a rare and worthy treasure."
31,positive,
32,positive,
33,negative,This one is always just off the boil.
34,positive,"With the Tom Robinson plot intertwining with Scout and Jem's education in the ugly flaws of a world they're only beginning to comprehend, today the film offers an extra accumulated layer of 'meaning.'"
35,positive,A classic adaptation of an American classic. Storytelling doesn't get much better than this.
36,positive,
37,positive,"Regardless of its flaws, it occupies a specific place in American cinema; it's easy to enjoy and hard to forget."
38,positive,"Above all, it's a film about listening to Dad."
39,positive,"Arguably one of the best dramatic films ever made, brought home with tons of great features, a sparkling new transfer, and a nifty fold-out case."
40,positive,"Combining the best of Southern Gothic and coutroom drama traditions, this Oscar-winner is poignant as a classic coming-of-age tale and expose of the American legal system"
41,positive,
42,positive,
43,positive,Superb on all counts. Great adaptation of the memorable novel.
44,positive,
45,positive,
46,positive,
47,positive,
48,positive,
49,positive,
50,positive,
