review_id,user_rating,review_text
1,89,"Yet in many ways Shoplifters is an unlikely yet organic extension of his last film, 2017's crime drama ""The Third Murder."" Less a whodunit than a whydidyoudoit, that legal procedural was really a subtle assault on Japan's judicial system, in which it's more important that a case makes sense than it reaches the truth. Shoplifters cuts close to the same marrow as ""The Third Murder,"" but with how Japan views families as his subject."
2,95,"The final act of Shoplifters, like all of Kore-eda’s best work, is devastating. After seeing the director tease out every strange bond in this makeshift group, investing his audience fully in their future, one finds it that much harder to watch when things fall apart."
3,75,"With its air of intimacy and fractious affections, Shoplifters feels like “The Borrowers” by way of Yasujiro Ozu, a discreetly observed drama about resourcefulness, loyalty and resilience in an era of obscene income inequality and a fatally frayed civic safety net."
4,89,"Shoplifters is held up by the strength of its ensemble and Kore-eda’s gifts as a storyteller, which gain with every movie he makes—even in the same year."
5,88,"Like Kore-eda’s previous masterpiece, ""Like Father Like Son,"" the movie uses a domestic drama to illustrate larger and more compelling concerns about society in general."
6,100,"Just as it lulls you, it also devastates."
7,88,"Shoplifters definitely goes after your heartstrings, yet especially after some third-act revelations put this family in a larger social context, the movie earns any tears it gets."
8,75,"A slow but captivating burn that may leave you questioning your own hard-set ideas of right, wrong and family."
9,83,"Kore-eda’s slow reveal of who these people are, and what they mean to each other, has its mystery story aspects, but this is essentially a character study, or at least it tries to be, and not a puzzle picture. He fills in each of the main players leisurely, in snatches."
10,80,"It’s an eerily moving piece, masterfully blurring the divide between the unforgivable and understandable, finding tenderness in the bleakest and most traumatic of circumstances."
11,100,It’s in theory the worst family movie of 2018 — and in practice one of the year’s best films.
12,80,"What Kore-eda wants to convey to his audience is that good and bad are never absolute, and that good and bad themselves have a reality above and beyond that of man-made laws."
13,80,The spirits of the old masters pervade this disquieting but deeply moving drama. But Kore-eda stands alone as the chronicler of family life in a country facing an identity crisis.
14,83,"It’s moving stuff, even if Kore-eda threatens to dilute his themes by overindulging in them. Shoplifters overstays its welcome somewhat as the third act rolls on, with an epilogue that seems to exist only to absolve characters that don’t quite deserve it. The empathy is admirable, but one wishes for a touch more restraint, especially in the wake of such an emotionally devastating climax."
15,100,"In the past, Kore-eda’s delicacy has at times enervated his movies. Here, though, the family’s toughness, thieving and secrets, its poverty and desperation, work like ballast on his sensibilities. In their grubby imperfections, Kore-eda finds a perfect story about being human."
16,100,"For the bulk of Shoplifters, Kore-eda works in a beautiful register that feels both detailed and genuine at the same time. We get to know these characters so deeply, watching them all at their jobs."
17,100,"Tolstoy got it wrong and Shoplifters gets it right. All happy families are not the same. Hirokazu Kore-eda’s enchanting, subversive masterpiece takes on family values and bourgeois pieties through a Japanese crime family that is not what it seems."
18,90,It’s impossible to experience the deep-seated compassion of this film and not be moved to tears.
19,100,"This wise and insightful film is delicate, poignant and unexpectedly powerful."
20,83,"What these people have in common beyond a shared surname really pounds the film’s theme home with a sledgehammer, but there are numerous tender, affecting moments en route to the finale’s tearjerker overdrive, many of them productively tangential to the overarching idea of choosing one’s own family."
21,100,"For all its gentle groundedness, a quality that suffuses much of Kore-eda’s work, Shoplifters strenuously resists romanticizing its main characters. Its compassion is more convincing for it. So is its brilliance."
22,80,"The secrets unveiled in the movie’s second half are mostly wretched, and Kore-eda, in his steady and unhectoring way, is levelling grave accusations at Japanese social norms, yet what stays with you, unforgettably, is that bundle of mixed souls at the start."
23,100,"Master director Hirokazu Kore-eda, whose work won the Palm d’Or at Cannes this year, doesn’t pour on the emotion. He doesn’t need to – his film, even as it enchants, is quietly devastating."
24,88,"Shoplifters, winner of the Palme d’Or at Cannes, is a film acted with great sensitivity, a rough story delicately told."
25,91,"Kore-eda is working up to something else, steering the story he’s built so carefully toward an utterly unexpected detour. As much of what we think we know unravels, the film becomes not just an enjoyable, intermittently poignant portrait of imperfect people but a profound meditation on the meaning of family."
26,100,"The director, though, reaches in and steals your heart right in front of your eyes, like a magic trick, and you have to admit you didn’t even see it coming."
27,88,"In Shoplifters, Kore-eda dramatizes the insidious and relativistic ordinariness of poverty."
28,100,"Every scene adds another onion-skinlike layer, adding density and mass so slowly that you hardly notice the emotional weight of it all until it is suddenly overwhelming."
29,87,"Not only does Shoplifters skillfully entwine several disparate threads he’s explored over his prolific career, it does so with the understated confidence and patient elegance of an artist who has fully matured."
30,83,"Trying to pick apart his native country’s struggles between tradition and modernity, legality and crime, Kore-eda takes the time to affectionately dissect the way family functions, before carefully deconstructing it and revealing the contoured complexities that live within."
31,80,"Boasting excellent performances all round (with the writer-director once again demonstrating his expertise with children), Shoplifters is another charming, funny and very affecting example of Kore-eda’s special brand of tough-but-tender humanism."
32,100,"A tender ensemble piece whose skillful performances dovetail into a perfectly symphonic whole, Shoplifters is a work of such emotional delicacy and formal modesty that you're barely prepared when the full force of what it's doing suddenly knocks you sideways."
33,100,A quietly devastating portrayal of family and theft in contemporary Japan.
34,75,"By drawing our empathy for such morally dubious and potentially damaging characters, Shoplifters remains a real heartbreaker, the kind of which only this director seems capable."
35,100,"It is a movie made up of delicate brushstrokes: details, moments, looks and smiles."
36,91,"A master of threading the needle between conflict and contrivance, Kore-eda manages to turn this drama inside out without every betraying its most resonant truth."
37,100,"Shoplifters is compassionate, socially conscious filmmaking with a piercing intelligence that is pure Kore-eda. This is a film that steals in and snatches your heart."
38,90,"This small film is a thoughtful addition to his parables about happy and unhappy families (Nobody Knows, After the Storm), studded with memorable characters and believable performances that quietly lead the viewer to reflect on societal values."
39,100,Some of the credit must go to the stellar casting and performances. It’s difficult to single out one of the six actors in this alternative family unit as it’s a true ensemble display. But Kore-eda’s deft command of tone is a key factor too.
40,100,"At once charming and heart-wrenching, this exquisitely performed film will steal the hearts of both art-house and mainstream audiences."
