id,tomato_score,review_text
1,positive,"Haynes’s swooningly meticulous 1950s period detail [is] an ideological frame these two women gaze past and through, like Therese through her camera’s viewfinder, so they can access the romantic intimacy of being in love at Christmas as their true selves."
2,positive,Haynes deserves extra credit for turning Blanchett’s acting superpower—resting sphinx face—into the totemic image and attitude of an entire movie.
3,positive,There is a comfort and cadence that is smooth as glass.  Both actresses breathe fervency and intuition into these two literary characters.
4,positive,"""Carol uses its beautiful winter atmosphere to guide the audience through a holiday journey of romance, heartbreak, and longing."""
5,positive,"Carol is arguably my pick for the most beautiful film I’ve seen in 2015. By choosing to focus primarily on setting and theme to drive the story, the true colors of this film are able to shine more clearly..."
6,positive,"I loved it. I’m so glad that I saw it and that it exists in the world. It has definitely moved representations of lesbians forward, and I hope that the next time a movie like this is made, more viewers will be better able to feel it."
7,positive,A beautifully made film and moving love story
8,positive,"As premature as it might be to say in a review for an initial theatrical run, Carol more than earns the right of comparison to Brief Encounter in terms of quality. Frankly, it’s one of the new great romantic films."
9,positive,Todd Haynes delves into the noir-kissed world of Patricia Highsmith...
10,positive,"These are fractions of instances that straight people can’t see, but inside, we feel our hearts pounding and our minds racing with possibility. That’s what Carol—and the holiday season for that matter—are all about."
11,positive,... An extraordinary film in every sense. [Full review in Spanish]
12,positive,Carol is one of the better film adaptions in recent memory and has truly withstood the test of time.
13,positive,A masterpiece of melancholy longing that manages to miraculously avoid being devastatingly tragic or dramatic.
14,positive,"Haynes, an experimental filmmaker whose dramatic work may seem straightforward yet is anything but, knows just how to fold his audience into a moment."
15,positive,"Todd Haynes and Phyllis Nagy created a compelling, extraordinary tale about love and its meanders in life. The time passes, but Carol remains the most critical romantic story with a happy ending. For me, it will always mean a lot."
16,positive,"Veering toward moments of heightened drama, Haynes shows measured restraint in maintaining the focus that essentially this is a story about love, rather than heading into cheaper plot devices."
17,positive,"A gorgeous, complicated and absolutely captivating film."
18,positive,"The second time I watched Carol all I did was cry. I cried over the scarves and the love-seats, the brooches and Rooney's pinned-up bob, the way Cate Blanchett unfolds her body like angel's wings"
19,negative,"In the end, the décor, costumes and settings are little more than a backdrop for an affair that does not follow ""a prescribed path."""
20,positive,A wonderful and all-too-rare film.
21,positive,An entertaining endeavor and a poignant message about love's ability to overcome adversity.
22,positive,"Unreasonably chilly and isolating, the central romance never feels believable, but Blanchett's titular performance is a wonderful portrait of manipulation."
23,positive,"The fragility of the characters and their courtship makes for a compelling tale. There are several layers to the film, and it softly transfixes you, making it a must-watch."
24,negative,"There comes a point where the melodramatic idyll wears me out, despite the excellent performances from Blanchett and Mara. [Full review in Spanish]"
25,positive,A good film will tell you everything you need to know. A great film will show you.
26,positive,"Carol is a timeless love story between two women in 1950s New York with absolutely stellar performances from its cast, beautiful writing from Phyllis Nagy and exquisite craftsmanship from Todd Haynes."
27,positive,"Haynes' vision of love is not the conquers-all variety, but rather ""we'll muddle through, no matter the cost."" It's a beautiful sentiment, befitting a beautifully constructed film from one of our era's greatest filmmakers."
28,positive,"[Carol] gets a suitably lush treatment by Todd Haynes, who created a film recalling the best work of that noted 1950's auteur Douglas Sirk."
29,positive,"Overall, Carol is stunning, compelling and unmissable."
30,positive,A perfect film. [Full Review in Spanish]
31,positive,The chemistry amongst the leads is forged into an excellent story by Todd Haynes. [Full Review in Spanish]
32,positive,"With her striking beauty, sophisticated demeanor, [Cate] Blanchett's amazing characterization lights up the screen."
33,positive,Achingly precise (and unexpectedly poignant) performances from Blanchett and Mara keeps the whole thing well away from soap-opera territory.
34,positive,"A major work by a major filmmaker, working at a level of narrative grace and elegance that is almost unmatched in contemporary cinema."
35,positive,"Every element of Carol serves to complicate, beatify, or forbid the ferocious looks of longing that pass between Blanchett and Mara. The film lives for these moments."
36,positive,The understanding reached thanks to Haynes and screenwriter Phyllis Nagy is of the exquisite and emotionally devastating variety.
37,positive,"Carol is a brazen love story that is brave enough to be set in another time and place and is passionate as hell. A superbly executed film, most especially in terms of writing and characters."
38,positive,"Christmas movie: the melancholy, the longing, the flashes of joy and anticipation, the rushes of despair. And, finally, hope - as a new year unfolds and love steps out of the shadows."
39,positive,"... caressed in soft-focus pastels, the beautiful strangeness of Carol is very much of-a-piece with Haynes's world, even as it expands it."
40,negative,"If only Carol, the much lauded movie from director Todd Haynes were as good as its trailer, a one minute ten second masterpiece of close-ups, pitch-perfect period detail and barely contained emotion."
41,positive,"Carol simply oozes class - the look, the narrative, the direction and its performances...making it a most beautiful film not just to behold, but to experience emotionally."
42,positive,It's Blanchett and Mara who really shine... There is so much beauty in their work. No film has touched me more in 2015 than Carol.
43,positive,CAROL is an incredibly articulate film in terms of the character moments that are subtle with their execution yet boisterous in their meaning.
44,positive,It's a joy to see female characters written with such depth and played so achingly well by actors at the top of their game.
45,negative,"The main problem is that the social tapestry is far, far less interesting than in Far from Heaven."
46,positive,"Carol filled me with hope and promise, which felt completely unexpected coming from Todd Haynes. Yet there's still a lingering fear in every frame, the presence of facades, gesture and shadow, the feeling of a set of eyes upon you. It's a masterpiece."
47,positive,"A slow, intellectual, coming-of-age romance, Carol is a stunningly filmed piece of emotionally distant art."
48,positive,"A luscious and profound piece on relationships, sexuality and repression."
49,positive,"There are so few movies that dare to build themselves around female leads that Carol comes across as outrageously daring. It should not be, but there we are."
50,positive,"With a minimum number of words and gestures, Mara conveys the complex inner life of Therese, a young woman in 1950s New York who's trying to understand what it means to fall in love."
