review_id,user_rating,review_text
1,100,"The story in the jungle moves ahead neatly, economically, powerfully."
2,100,"Possibly Lean's most complicated movie, Kwai is a towering work."
3,100,"A gripping drama, expertly put together and handled with skill in all departments. Its potency stems only partly from the boxoffice draw of William Holden and, to a lesser degree, Alec Guinness. What elevates “Kwai” to the rank of an artistic and financial triumph for producer Sam Spiegel is the engrossing entertainment it purveys, including some scenes which will be listed as among the best of film memorabilia."
4,100,"Brilliant is the word, and no other, to describe the quality of skills that have gone into the making of this picture, from the writing of the script out of a novel by the Frenchman Pierre Boulle, to direction, performance, photographing, editing and application of a musical score."
5,100,"Whereas Lawrence of Arabia and Doctor Zhivago feel more pictorial than cinematic, The Bridge on the River Kwai carefully builds its psychological tension until it erupts in a blinding flash of sulfur and flame."
6,100,"The post-World War II cinematic landscape is littered with big-budget movies about the conflict and the toll it took upon those who participated. Some of those pictures have become timeless classics and some are nearly forgotten. Few, if any, are as simultaneously thrilling, awe-inspiring, and tragic as The Bridge on the River Kwai"
7,50,"For what it is, it ain't bad, though it serves mainly as an illustration of the ancient quandary of revisionist moviemakers: if all you do is systematically invert cliches, you simply end up creating new ones."
8,100,"Brilliant performances are to be credited to Alec Guinness, as the British colonel, who insists on sticking to the rules of the Geneva Conference governing prisoners of war, and Sessue Hayakawa as the stubborn, cruel, proud Japanese officer."
9,100,"This intelligent and exciting WWII tale, masterfully helmed by Lean (at the start of his ""epic"" period), features a splendid performance from Guinness as Col. Nicholson, a British officer who has surrendered with his regiment to the Japanese in Burma in 1943."
10,100,"The Bridge on the River Kwai is that rare film about something as seemingly black-and-white as World War II that is colored entirely in shades of gray, and the better for it."
11,90,"Despite the thinness of the final gesture, The Bridge remains an engrossing and stirring movie. Amazingly, it allows an American to feel patriotic about the British, and that is because it is not, thank God, patriotic about patriotism. Rather it represents the limitations of moral and national passion is well as its glories, and consequently makes patriotism, courage, and pride human possibilities."
12,80,"If there's a misstep here, it would be in the character of camp medic Maj. Clipton (James Donald). His overwrought dialogue---especially some Heston-like cries of ""Madness!"" during the finale---is too much of an on-the-nose contrast to the story's necessarily clinical existentialism. It slightly dilutes the film's piercing grandeur, but the nit is easily enough picked."
13,100,"It is a whale (2 hr. 41 min.) of a story, and in the telling of it, British Director David Lean (Brief Encounter, Great Expectations) does a whale of a job. He shows a dazzlingly musical sense and control of the many and involving rhythms of a vast composition. He shows a rare sense of humor and a feeling for the poetry of situation; and he shows the even rarer ability to express these things, not in lines but in lives. Most important of all, he understands the real nature of the story he is telling."
14,60,"The film is rather misshapen, particularly in the sections featuring William Holden, and the action that detonates the explosive finish isn't quite clear. However, Alec Guinness is compelling as the English Colonel Nicholson."
15,88,"Lean stages the events with an expert sense of suspense, then leaves us wondering what to make of the mythologizing that came before. Was all that whistling really the sound of legendary British resolve, or were those soldiers only whistling past their own graveyard?"
16,100,"Director David Lean achieves a fine balance of creating complex characters from a fine cast, while keeping the pace up throughout this long movie."
