id,tomato_score,review_text
1,positive,"Whiplash is a monster of a film, paced with a kinetic energy that moves like its own jazz piece."
2,positive,Here the classroom is the battlefield and dropping a drumstick feels just as devastating and crucial a moment as a grenade falling between your feet.
3,positive,"This is as much psychological thriller as musical drama and it turns on the increasingly toxic chemistry between two clearly damaged people, to the exclusion of pretty much anyone else in the film"
4,positive,"What does it mean to be great? I loved Whiplash because Damien Chazelle highlights the blood, sweat and tears that come along with pure devotion to one’s craft; the hard work when nobody’s there to pat you on the shoulder. The final scene…wow."
5,positive,What is essentially a thriller about jazz introduced the world to the rare talents of Damien Chazelle...
6,positive,Not quite sure why there's so much hype and praise on this one. I did enjoy it and thought JK and Miles had good performances but I didn't love it the way so many others did.
7,positive,"Fantastic performances that still hold up despite the problematic comments from J.K's character but he's meant to be that despicable, which is also why he won ALL the awards for this!"
8,positive,Damien Chazelle explores how much greatness is worth in Whiplash and manages to capture terrific performances in one of the best films of 2014.
9,positive,"Putting everything into your art or sport of choice has been the theme of many a dramatic motion picture, but few pour out their passions with such volatile intensity as Whiplash."
10,positive,"This is a rare treat combining remarkable acting, music, energy, and twists that will follow you out of the theater."
11,positive,There is not much to dislike about Whiplash. It is simply a pleasure to watch.
12,positive,"The film is stifling, stressful and brilliant, delving deep into the psychological richness of what happens when an ambitious young person in a prestigious environment meets a volatile instructor..."
13,positive,"Chazelle orchestrates his first feature like a pro, utilizing a snappy pace throughout."
14,positive,"The toxic mix of perfectionism, ambition and hubris meet in a perfect storm."
15,positive,It all ends on a triumphantly upbeat note that has the intensity to completely dominate every annoyance and dubious direction that came before it.
16,positive,"What makes musical genius? Is it inherent, or does it have to be dragged kicking, screaming and bleeding from you?"
17,positive,"Whiplash is exactly why films are made. It's powerful, moving, scary, gripping, thought-provoking, exhausting, inspiring and...in-%*@#ing-tense."
18,positive,"J.K. Simmons completely owns his role. It's scary, bordering psychotic and worth his Oscar win."
19,positive,"An energetic film about music, passion, sacrifice and the fine line between excellence and excess. [Full review in Spanish]"
20,positive,"The extraordinary thing about Whiplash, in addition to having a tremendous score, is that it plays the cymbals of the contemporary jazz scene with what would be masterful performances from Miles Teller and J.K. Simmons. [Full review in Spanish]"
21,positive,A terrific psychological thriller set in the emotionally shark-infested waters of an elite New York music academy...
22,positive,"Compelling, stunning and exhilarating, there are not enough superlatives to describe Whiplash and the impact of its lead performances."
23,positive,"Whiplash is a thrilling nailbiter that ruminates on the cost of great art, nature vs nurture and the sacrifices one makes for one's craft..."
24,positive,"What doesn't kill you makes you stronger, and Whiplash hits so hard it'll leave you on life support, gasping for breath."
25,positive,All the music scenes are done incredibly well and it builds tension to a very satisfying ending.
26,positive,"A supreme meditation on the encouragement of brilliance and the excesses of power, Whiplash is a stunning musical drama with a rhythm section to die for."
27,positive,"If it wasn't for the stellar performances by both Simmons and Teller, I'm not sure this film would actually work."
28,positive,"It's one of 2014's best films, an emotional powerhouse that features one of the most memorable performances in recent memory."
29,negative,A dramatic conceit around which so-called truisms about the destructive quest for artistic perfection can play out.
30,negative,"The advertising boasts words like 'riveting' and 'astounding.' Sadly, I was neither riveted nor astounded."
31,positive,It's a necessary cautionary tale for anyone aspiring to greatness that never sugar coats itself for one moment.
32,positive,"If occasionally the movie works too hard to manufacture dramatic points, that's easy enough to forgive in the face of the performances writer-director Damien Chazelle (Guy and Madeline on a Park Bench) draws from his stars."
33,positive,Electrifying. Dangerous. Masterful.
34,positive,It takes Simmons as an actor from memorable to unforgettable.
35,positive,"""Whiplash"" is a standout film of the year that will remind you what filmmaking is supposed to be."
36,positive,The terrific acting duo of Teller and Simmons infuses the lively antagonism between coach and pupil with practically combustible fuel.
37,positive,"If you're anything like me, you'll leave the theatre trembling to the rhythm of jazz drums. [Full review in Spanish]"
38,positive,... intoxicating movie. [Full review in Spanish]
39,positive,"Whiplash is cinema as a duel, fought not in an army  barracks or an athletic training camp but in the room where the orchestra rehearses its jazz numbers."
40,positive,Whiplash is must-see cinema filled with explosive performances from Miles Teller and J.K Simmons
41,positive,"Chazelle has a winning conceit in the bond between the self-annihilating hero and his psychopathic mentor, wringing surprising tension out of an improbable magic-realist finale that sees the men hashing out their demonic teacher-student relationship."
42,positive,The taut editing (Tom Cross) is outstanding and Simmons outdoes himself.
43,positive,"Like a classic jazz tune, this movie takes a simple theme -- what is an acceptable price for artistic greatness? -- and with the application of craftsmanship and imagination, that slim starting idea is built into something approaching greatness."
44,positive,"Without guns, knives or fistfights, Whiplash manages to be explosive and yes, dramatically violent - it's just that the violence is largely emotional, and often self-inflicted."
45,positive,[Chazelle] concocts a finale that contains an unlikely plot twist and which arguably counters everything the rest of the film has warned us about. But it includes a musical performance so dazzling and exhilarating that it's hard to complain.
46,negative,"The film has potential, but ultimately there's more bark than bite."
47,positive,"Whiplash is a well made film, expertly edited and performed with aplomb, but it's a little bit ridiculous."
48,negative,"[Miles] Teller and [J.K] Simmons give stellar performances, making this twisted relationship between teacher and student always compelling, even as the plot strains believability more than once."
49,positive,"The movie is bursting with grand jazz sets, some classic, some not. All of them pure pleasure, especially if you love jazz."
50,positive,Simply outstanding.
