id,user_rating,review_text
1,10/10,Everyone who can handle some serious imagery should see this. It’s a fabulous and dark story that will leave a mark on you for as long as you live.
2,,"Its unnamed downtown allows us to see our own worst fears manifested in rain covered streets, antiquated awnings, and run down buildings...Its own ugliness breaths with life without the need for bustling streets of nameless faces."
3,5/5,"Director David Fincher is at the top of his game with this moody, disturbing and shocking thriller that cuts deep and leaves a mark. [Full review in Spanish]"
4,5/5,"Pitt, then struggling to prove himself as a serious performer (see Legends of the Fall), was given an injection of gritty credibility, delivering the unforgettable climactic line..."
5,3.5/4,"From its stylish opening credits to its utterly shocking denouement, it’s a master class in nerve-fraying nihilism."
6,,"... while there are elements that don’t align to today’s standards of social correctness, it is no less a remarkable work whose twists continue to marvel, even when you can identify the breadcrumbs that were missed on an initial viewing"
7,5/5,"There is so much to love about Se7en, it is easy to see why it appears on several 'top 100 of all time' lists."
8,,"As horrific as the conclusion is, it’s also the final catalyst that shocks Somerset out of his own downturn toward defeatism and back toward a fight, however daunting, for humanity."
9,4/5,"Se7en is a grisly murder thriller, with an intriguing discourse surrounding the symbolism of the murders and Freeman and Pitt as a strong lead duo."
10,4.5/5,"A stone cold classic, especially from a technical point of view. It's incredibly moody, cements a number of tropes for serial killer/crime texts, and (despite the presence of Spacey), John Doe and that finale are iconic."
11,,"When Seven, with its velvety world of bottomless evil, taps you on the shoulder, your instinct will be to dive under the theater seat."
12,4.5/5,"I wouldn't go so far as to call David Fincher's Seven the most terrifying film ever, but it's right up there on the top shelf with Psycho and The Silence of the Lambs."
13,A-,"Seven doesn't take you to hell and back; it takes you to hell and keeps you there, looking around and wondering how it had come to this."
14,,"There is no denying that Seven is a deeply unpleasant movie. But I believe it is a fine one, too. It doesn't glory in its depravity, but keeps a distance from it."
15,1/4,"All the literary allusions and cinema school self-consciousness can't save Fincher from drowning in the tawdry waste of this dreadful, brutal, abusive movie. Go, our little moviemaker, and sin no more."
16,3.5/4,The performance that eventually emerges from the shadows gives both Anthony Hopkins and Anthony Perkins a run for their money. By the end of the film you'll run to your car and lock the doors.
17,1.5/4,"There's a great deal of talent on display in the serial-killer thriller Seven, which only makes it worse when you finally recognize this is a heartless, soulless, pointless exercise in audience manipulation."
18,3/4,The results of the killings are needlessly grotesque and don't really serve the smart screenplay by Andrew Kevin Walker and the artful direction of David Fincher. All of this talent is worth seeing if you can look past the gruesome details.
19,3.5/4,"Seven, a dark, grisly, horrifying and intelligent thriller, may be too disturbing for many people, I imagine, although if you can bear to watch it, you will see filmmaking of a high order."
20,,"A spectacular piece of cinema -- a vision of evil triumphant, distilled into deadly psychic poison by a world that is itself corrupt and fallen. After Alien 3, Fincher shows himself a real artist of the medium."
21,,I do not expect to see many better pictures in 1996... Seven is a dazzling movie and it engages the mind while jabbing the solar plexus.
22,4/5,"It's a case where a traditional but nicely twisted plot is married smartly to MTV visuals, to the uncommon advantage of them both."
23,,"Fincher's one previous film, Alien 3, shared the same dingy colours and downbeat mood. But where that film stumbled over its tedious plot, Seven almost dances with vitality."
24,,"Seven is gripping and intricate in a sordid way, and Freeman and Pitt, physical and spiritual opposites, become an oddly satisfying pair, but I was happy when the movie had played its last trick on me and could hold me no longer."
25,C-,"Did anyone else believe that MTV-video veteran David Fincher ruined his feature film career when it started?... Apparently not the honchos at New Line Cinema, who handed Fincher an interesting, grisly idea for a movie, then allowed him to bury it."
26,,"Each actor reaches deep and brings forth a character far greater than the one written; for all its disappointments, the film can pierce the heart. As for Fincher, he pierces the heart with genius."
27,,"A murky, sometimes disturbing rehash of The Silence of the Lambs genre whose studied obscurity, formulaic thrills, and mannered disgust don't quite conceal its loose ends and predictable plot twists."
28,4/5,It's a scary piece of work.
