review_id,user_rating,review_text
1,60,"Despite the deftness of the graft (thanks to a script that he co-wrote with Gillian Flynn), it remains, throughout, a graft—a conspicuous effort to rely on the simple emotional engagement of a crime drama to deliver didactic observations about political power relations."
2,75,"While Widows can be powerful and dramatic, the director doesn’t seem all that interested in the complicated heist that is theoretically driving the plot."
3,80,"The best ensemble cast of the year live through Steve McQueen’s Widows, an entertaining, intelligent, but altogether familiar rendition of the heist film."
4,58,"A lean heist movie with this cast could’ve been an incredible thing, and the performances alone keep Widows from ever being too boring. But the story got away from them on this one. A movie that’s about too much ends up being about nothing."
5,75,"The premise is a borderline gimmick, but director Steve McQueen (12 Years a Slave) invests the movie with enough grit — it's set in the world of hardboiled Chicago politics — to draw us in."
6,58,"It’s entertaining enough for popcorn — and gratifying, too, to watch these smart, strong women step into roles they’re so often left to support from the sidelines, while men have all the contraband fun. If only the execution of it didn’t feel like such a crazy-quilt patchwork of other, better films, and so jaggedly stitched together."
7,75,A gritty romp that makes the cliché-prone heist genre feel fresh again. It runs far deeper than any “Ocean’s.”
8,50,"I wish I could have enjoyed Widows half as much as the critics who are salivating over it with rapturous praise, but Steve McQueen, Oscar-winning director of 12 Years a Slave, directs movies with a jackhammer. Turning his methodic violence with a camera from the brutality of slavery to a commercially driven feminist heist movie, he does not enhance the old Hollywood genre. He pulverizes it."
9,83,"In spite of all the talent, in the end, the success of a heist movie is in whether you buy the movie’s twists and turns. In this case, it’s an enjoyable ride, but some of the story’s weaknesses make it less than it might have been."
10,94,"Sure, Widows is a dynamite entertainment, but it’s also more mournful, thought-provoking and intelligent than that."
11,75,"Widows largely works...not as a character study but as a consideration of corruption on a larger, societal scale."
12,70,"There’s no denying that Widows is entertaining. Partly familiar and partly something all its own, the film still stumbles at times. But when it works, it’s enthralling."
13,70,"The result is a fascinating and sometimes frustrating hybrid, a film that tries both to transcend and to exploit its genre."
14,78,"At every turn, corruption oozes from the pores of this thriller, and although the film’s tone keeps us on edge, Widows also hits a few perfunctory pits in the road."
15,90,"A thriller for modern women who identify more with the messiness of human lives than with flattened slogans about how great women, as a monolithic group, are."
16,100,"McQueen has made a big, pulpy crowd-pleaser, but he uses it to tell a story with real meaning. Widows is methodical in its imagery and gracefully written; it’s also a suspenseful blast, best seen with the biggest, most animated audience possible."
17,65,"Widows is so severe and reserved a picture that it never quite works as a thriller, but it’s so mired in conventional thriller storytelling that it never completely works as a serious drama either. But there’s no denying the power of that cast and the particular vision of McQueen, who turns Widows into something truly distinctive… if not necessarily effective."
