review_id,user_rating,review_text
1,83,"Adams’s clear-eyed, open-minded doctor forces us to ask how much we’re willing to communicate."
2,60,"Watching it, I was excited that such a strange piece of science fiction got made—and disappointed to realize that it is strange in just about all the ways that Interstellar is. But while even Nolan’s detractors couldn’t deny his skill at manufacturing awe, the primary emotion that Arrival evokes is puzzlement."
3,58,"Unless there’s something truly momentous going on, I prefer my sci-fi to be a lot more weightless than weighty."
4,88,"Arrival puts Villeneuve, who first came to attention with “Incendies,” firmly in the first rank of filmmakers, a director capable of not just entertaining, but challenging. And the wide-eyed Adams, near the top of the list of the best actresses never to win an Oscar, delivers another riveting, melancholy and life-affirming performance that threatens to change that, maybe as soon as next February."
5,88,So much of the pleasure of Denis Villeneuve’s poignant science-fiction drama Arrival lies in watching Amy Adams figure things out.
6,88,"I’m not entirely convinced the ending is the perfect landing to everything that transpired before, but Arrival is not a linear adventure of the mind, and it is a film probably best seen twice."
7,100,"It's one of a handful of movies that have legitimately fooled me; not with an abrupt twist but a dawning awareness of where it's going thematically, how deeply and how distanced from sci-fi as usual."
8,75,"With its icy symphonic score (courtesy of Iceland’s Johan Johansson) and a palette of rainy-day colors, Arrival is at once majestic and melancholy. It’s a grand endeavor, and Adams, at the center of it all, brings pluck and smarts and a deep-seated sorrow to her role. This is her movie, no doubt."
9,100,"Although Arrival is about first contact with extraterrestrials, it says more about the human experience than the creatures from another world. This is a singularly powerful movie, without question one of 2016’s best."
10,50,The best science fiction leaves you with questions and ideas to ponder. Arrival is the sort of superficially profound movie that initially seems deep and weighty but stops making sense the moment you put down the bong.
11,91,"That’s the movie’s greatest feint, though: Ultimately, it’s far less interested in galactic destiny than the infinite, uncharted landscape of the human heart."
12,75,"Shot under gray skies and in artful shadows by cinematographer Bradford Young, scored to wickedly disorienting music by Oscar-nominated ""Sicario"" composer Johann Johannsson, Arrival will cast a spell on some while merely discombobulating others. Right there, I'd say that indicates it's worth seeing."
13,88,Arrival would be nothing without Adams.
14,88,Arrival is science fiction in the classic sense and a film of otherworldly ambition.
15,100,"Arrival works as mainstream entertainment, but includes hallmarks of the “2001: A Space Odyssey”/“Silent Running” era of artist-driven science fiction. It has Hollywood stars, but makes great effort to strip them of any false glamour. The film is tightly calibrated, but leaves things open to interpretation, for discussion on the ride home and beyond."
16,80,"What’s remarkable about Arrival is its contemplative core—and, of course, Ms. Adams’s star performance, which is no less impassioned for being self-effacing."
17,100,"Arrival is really Adams' film, a showcase for her ability to quietly and effectively meld intelligence, empathy and reserve."
18,90,"It is intelligent, moving and wholly original."
19,75,"Muted, measured and meditative, Arrival brings taste and restraint to a genre in the midst of a mini golden age: It comes in peace."
20,88,Arrival makes a moving case that we’ve only scratched the surface of what we think is possible — and what we define as intelligence.
21,80,"Arrival isn’t a visionary movie, an intellectual rebus or a head movie; it’s pretty straight in some respects and sometimes fairly corny, with a visual design that’s lovely rather than landmark."
22,88,"A twisty, cerebral drama that just happens to involve aliens, Denis Villeneuve’s film is a truly beguiling take on both the sci-fi canon and what, exactly, a grown-up Hollywood film is supposed to be."
23,70,Arrival is a science fiction confection that wants to be smart. But the truly fascinating material that would have made this a very good movie rather than a pretty decent one likely ended up on what they used to call the cutting-room floor.
24,88,"Adams, her face a reflection of conflicting emotions, is simply stellar in an Oscar-buzzed performance of amazing grit and grace. Without her, Arrival might be too cerebral to warm up to. With her, the film gets inside your head and emerges as something intimate and epic, a linguistics odyssey through space and time. It's the stuff that dreams are made of."
25,25,"""Enemy"" and ""Sicario"" were unspeakable disasters, and Arrival, the director’s latest exercise in pretentious poopery, gives me every reason to believe I have parted company with Denis Villeneuve for good."
26,78,"A deeply soulful film, shot through with loss, regret, and hope. Like almost all great sci-fi films it’s less about the alien unknown than it is about the human condition."
27,83,"Arrival has come, like a visitor from the cosmos, to blow minds and break hearts."
28,63,The film's searching images counterpoint the hyper-articulate methodology of its characters' sense of imbalance and uncertainty.
29,70,"Why did Villeneuve and the screenwriter, Eric Heisserer, let the grade-B military melodrama run away with the story?"
30,100,"Arrival is such a beautiful and thought-provoking film that it almost singlehandedly makes up for every bad aliens-coming-to-Earth film you’ve ever seen. Yes, even Independence Day: Resurgence."
31,100,Adams gives her best performance as a lonely woman who has to make a decision that will haunt her – though perhaps in a good way – for the rest of her life.
32,80,"It may be weaker in the resolution than in the setup, but that is an inbuilt hazard of science fiction, and what lingers, days after you leave the cinema, is neither the wizardry nor the climax but the zephyr of emotional intensity that blows through the film."
33,80,"For most of its running time, Arrival is entrancing, intimate, and moving — a sci-fi movie that looks not up at the stars but rather deep within."
34,70,"Arrival challenges viewers to a brainier sci-fi conundrum than they're used to, which makes for an intellectual breath of fresh air."
35,100,"Arrival is a beautifully polished puzzle box of a story whose emotional and cerebral heft should enable it to withstand nit-picky scrutiny. And like all the best sci-fi, it has something pertinent to say about today’s world; particularly about the importance of communication, and how we need to transcend cultural divides and misconceptions if we’re to survive as a species."
36,100,"An intelligent, eloquent and stirring sci-fi that grips from start to finish, Arrival is up there with the year’s best movies."
37,100,[A] truly remarkable film.
38,95,The extraordinary success of Arrival is that it combines its bravura style and grand sci-fi questions with tremendous emotional intelligence and a heart so full it’s ready to burst.
39,75,"It’s a movie designed to simultaneously challenge viewers, move them and get them talking. For the most part, it succeeds."
40,80,"Arrival is a smart film, but it’s not a cold or clinical one. Both the first and last scene brought me to the verge of tears."
41,91,"Arrival, the shimmering apex of Villeneuve’s run of form that started back in 2010 with “Incendies,” calmly, unfussily and with superb craft, thinks its way out of the black hole that tends to open up when ideas like time travel, alien contact and the next phase of human evolution are bandied about."
42,75,"It’s not impossible to give audiences both a puzzle-box narrative and an exploration of life choices and what it means to be human, but the balance just doesn’t play here."
43,80,"Arrival is a big, risky, showy movie which jumps up on its high-concept highwire and disdains a net. And yes, there are moments of silliness when it wobbles a little, but it provides you with spectacle and fervent romance."
44,100,"This is riveting, dizzying stuff from Villeneuve."
45,90,"Anchored by an internalized performance from Amy Adams rich in emotional depth, this is a grownup sci-fi drama that sustains fear and tension while striking affecting chords on love and loss."
46,80,"Arrivals becomes an unexpectedly moving rumination on life’s bigger questions by its end. While it looks to other worlds, its main pleasure turns out to be the most intimate of questions."
47,70,"Adams draws on her gift for making each and every moment quiver with discovery. The actress is alive to what’s around her, even when it’s just ordinary, and when it’s extraordinary the inner fervor she communicates is quietly transporting."
48,80,"Despite some imperfections, Arrival is a close encounter with the best of intelligent, thoughtful science fiction."
49,70,"Adams gives a nicely polished, muted performance: She keeps the story grounded when the ideas Villeneuve is striving for threaten to get too lofty. And the picture is intelligently and effectively crafted, one of those enterprises where the cinematography, sound design and score, as well as the special effects, melt into a seamless, organic whole."
50,60,"To enjoy the film's arresting musings on language, time and how much we can ever understand others, you'll have to close your eyes and ears to the wealth of schlocky hokum surrounding them."
