id,user_rating,review_text
1,10/10,It really is impressive how this film gives a really nuanced social commentary on what it is like to experience racism... It expresses the false sense of security of a masked racism right below the surface that others and marginalizes black people.
2,4/5,"To come right to the point, “Get Out” is an 104-minute living embodiment of a slow-burning WTF moment that just keeps growing with every new detail."
3,3/5,"An atmospheric, albeit strange, combination of The Stepford Wives (1972) and Guess Who's Coming to Dinner (1967), but also with some ""over-the-top"" horror in the mix and hardly offering anything new or subtle by the end."
4,,"The experience of Get Out is unforgettable, and will hopefully provoke audiences to wrestle with why this material matters to so many. As a directorial debut, it’s hard to top what Peele does here."
5,7/10,Get Out achieves something that few films of its ilk do: build a scary story with human pathologies instead of ghosts and monsters... [Full review in Spanish]
6,,"Peele's exciting new voice brought horror, laughs and deeply unsettling self-reflection."
7,4/5,"One of the most original and refreshing films to hit the cinema in years. Jordan Peele's feature debut works as a smart dark comedy, satire and psychological thriller, touching on very relevant issues today. [Full review in Spanish]"
8,8/10,Get Out is a razor-sharp horror movie with a wicked sense of humor and an adroit perspective.
9,,A penetrating analysis of racism in America.
10,2.5/5,"Peele clearly aims to make a movie that can be several different things at once, but I’m not sure any of the film’s multiple identities are all that strong."
11,3.5/4,Get Out is essential viewing for the socially conscious horror fan.
12,5/5,Get Out is horror filmmaking at its absolute finest.
13,3.5/4,"Get Out is perhaps the best terror tale since the mid-2000s served up The Descent and Pan's Labyrinth, two masterworks that, like this one, have much more on tap than just creeping out audiences."
14,,"A film from a highly influential new filmmaker that makes audiences think deeply about life, but it does so through a uniquely conscious horror lens."
15,5/5,Its sucker punch to the status quo has ensured it's impossible to forget.
16,4/5,"Well told, impressively rendered, and creepy as all hell."
17,,"When that real-life horror flows into the film's fantastical premise, it's revealed how well first-time director Jordan Peele threaded the needle."
18,4/5,"Get Out is a horror film but like all great genre films it isn't just that. It could more rightly be called a social thriller, a film that looks at everyday ills - in this case racial tension - through the lens of a genre movie."
19,5/5,"A tense, creeping drama that gets under your skin, makes you laugh and then explodes outward in the most satisfying, pulpy of ways. Get Out is all of those things."
20,3.5/4,"Get Out is a smart, quite funny, and startling picture, you just have to see it."
21,,"With a perfect balance of terror and comedy, this smart, slightly-satirical look on society and racism is a well crafted film that dives even deeper than you expect."
22,7/10,"Kaluuya is exceptionally grounded (continuously tossing around genuinely inquisitive expressions), making the eerie situations more realistic and more humorous."
23,,"Contains that third act twist that comes with smart horror movies. By the end, the audience was cheering and applauding..."
24,5/5,"Get Out is an achievement on a textual, metatextual, and subtextual level that is effectively a roadmap for filmmakers trying to build a political message into their genre fiction."
25,3.5/4.0,One of the best films of the year for 2017.
26,4/4,"Jordan Peele delivers the best movie of the decade thanks to masterful symbolism of American flag wardrobe, cell-phone justice, cotton-picking escapes and dialogue double meanings."
27,5/5,"They say ""a mind is a terrible thing to waste"" and in Jordan Peele's directorial debut, Get Out is certainly one of the most accomplished films of the year."
28,A,"It can work as a suspense thriller, a horror comedy, or as a launching point for a deeper social conversation."
29,A,"Sharp and satirical, frustratingly topical and poignant, ""Get Out"" insightfully explores race in America while delivering a banger of a horror movie."
30,,"The complexity, though, is reduced by caricaturing the Armitage family and their guests as unfeeling monsters[.]"
31,,"Get Out is the kind of thriller that will crawl under your skin and worm its way into your brain, making you think about it long after it's over."
32,7/10,"The horror is effective because Peele, who is also a comedian, supports it with a social commentary that criticizes the most brutal veins of racism in current American society. [Full review in Spanish]"
33,,I did think it was very interesting and I'm excited for Jordan Peele to make more movies.
34,,I liked it for what it was... I was entertained.
35,,"Get Out is so damn smart, funny, and impressively directed by Peele, who embraces certain great horror tropes, but never forgetting that the best horror and sci-fi often includes clandestine messages and commentary on modern society."
36,,Jordan Peele takes us on a frustrating yet ultimately victorious ride with his race-based mystery horror movie. Get Out combines genuine thrills with a no-holds-barred critique of black-white relations.
37,,"Peele seduces, subverts and manipulates audience expectations - as the masters Alfred Hitchcock, John Carpenter, and Stanley Kubrick did before him."
38,,"It's tense, angry, hilarious, and here in Trump's America, it might as well be a protest film."
39,,"Get Out isn't a great film because of its excellent pacing, strongly defined characters, and mastery of tone. It's a great film because it never loses sight of its concept."
40,,"...it'll be with us years later as shattered pieces from its fall, making sense for the future of how we talk about racism, and the human monster that hides within it."
41,,"By working on both the level of social satire and scary horror flick, Get Out is one of the finest directorial debuts in recent memory."
42,A,Podcast Review
43,,"Jordan Peele hands out a great lesson in creating eerie suspense. It helps that his cast is excellent, with Daniel Kaluuya, Catherine Keener and Betty Gabriel as stand-outs."
44,5/5,"Of course, the social message of the movie wouldn't carry much weight if it wasn't so well made. It's not scary so much as it is tense and unnerving, its paranoid horror elements handled well by first-time writer-director Jordan Peele."
45,7/10,...combines a well-executed horror movie with incisive social commentary...
46,5/5,[Jordan Peele] shows a real knack for producing scares and offsetting scenes of slow-building dread with laugh-out-loud moments.
47,,"Come for the scares. Stay for the humour, which is scalpel-sharp."
48,3.5/5,"Briskly paced, this is as relevant as social commentary as it is a potent horror film, and marks Jordan Peele as an exciting, multifaceted director."
49,4/5,Get Out makes imagining such a thing beyond the realm of an intellectual exercise. But by extension this leaves me even more disturbed at the times I tacitly nodded in approval myself. Get Out got under my skin.
50,,Get Out is filled with wonderfully eerie performances.
