review_id,user_rating,review_text
1,80,"The fog shrouds the storyline here, but makes it all the more intriguing and addictive."
2,88,"Decision to Leave, director and co-writer Park Chan-wook’s dazzling, confounding, gorgeously crafted variation on a dangerously familiar film trope, takes its component parts and comes up with something no one has ever built before."
3,90,"The way Park composes each frame is masterful. Sometimes the set-ups are intended to throw you off the scent of what’s happening, but wow, who cares when a film looks like this?"
4,83,"If Decision to Leave is indeed intended as an homage to a genre, mission accomplished."
5,96,"If the erotic thrillers of the past explored the dangers of lust, Park Chan-wook explores the risks of longing. His take on the genre isn’t just sexy; it’s playful and mordant and convoluted—and it begs to be rewatched, for the electrifying performances and for every frame he composes. It’s the kind of film that, like an overpowering attraction, refuses to be ignored. The only relief comes from indulging it."
6,75,"A delicious femme fatale thriller with mystery, tragedy and more than a few deadpan laughs."
7,83,"This is meticulous, beautiful filmmaking that is rich in meaning and fat with detail. Surrender to Park’s smoky, dangerous romance – vengeance can wait."
8,80,"Another director might have fashioned Basic Instinct from such voyeuristic clay. Park dances with the material. Eschewing sex in favour of simmering sensuality, Decision to Leave coalesces into an intricate ballet between the main characters, Park’s careful choreography and Kim Ji-yong’s acrobatic camerawork."
9,88,"If all of this skewed romance doesn’t hook you, Park’s filmmaking choices likely will, including inventive transitional techniques that make this two-hour-plus movie unfold like a fluid dream."
10,90,"While Decision to Leave might lack the grandiose scale of Park’s most-lauded work, its intimacy is no less apparent."
11,89,"The twists and convolutions can seem overwhelming, but Park sustains this high-wire act effortlessly. It’s about trust, you see, about letting go, and doing so will reveal as sublimely satisfying a romantic mystery as you're likely to see."
12,75,Decision has real velocity without in any way feeling hectic or rushed.
13,80,"A spry police procedural fused with an achingly intense romance, Decision To Leave keeps you off-kilter throughout, in the best possible way. Make a decision to see it."
14,50,"Needlessly complicated and at times almost impossible to follow, its narrative inscrutability often coming across less as the result of nonlinear storytelling than as simply a cinematic affectation."
15,89,"While the procedural story takes up a fair bit of screen time, the emotional story is the center of the film, and the one that’s likely to stick with audiences longest and most clearly. As a story, it lacks the verve and dynamism of his early action films. As a portrait of obsession and regret, it’s remarkably sophisticated and satisfying."
16,80,"The storytelling isn’t always straightforward. But stick with it, go with it, and revel in the pleasure of being spoken to as an adult."
17,91,"The South Korean director, working at the top of his game, drops tantalizing clues that are best analyzed in multiple viewings which, it can be reported from first-hand experience, will be very helpful."
18,75,"It lulls the viewer, along with the protagonist, into a misty, dreamlike delirium until you’re not even certain of what’s right in front of your face."
19,73,"While not Park’s best work, nor a masterpiece, Decision to Leave is an extravagant and hopelessly romantic thriller that weaves past and present into something entirely its own."
20,100,"We expect cinematic fireworks with a stylist like [Park]. It’s his sense of restraint and his substance, however, that makes what could have just been a clever check-out-these-moves exercise feel like a genuinely emotional showstopper."
21,100,"A love story by turns sprawling, despairing and invigorating."
