id,user_rating,review_text
1,,"A strong, exceptional film that deserves to be looked at with similar awe and reverence as the other two entries in the Dark Knight trilogy."
2,,"[Nolan's] films are a pure and genuine model for what story and setting should be as well as, creating a human touch to the whole aspect of these legends we’ve read in comic books."
3,5/5,"Every character is beyond three-dimensional and fleshed out with dynamic emotions, origins, strengths, flaws, victories, losses, goals, and fates."
4,10/10,"Just when it seemed Batman would never be able to shake off his invincible karma, Nolan managed to reinvent his character, place him in the present day, and turn him into a vigilante. [Full review in Spanish]"
5,,"[The cap to Nolan’s Batman trilogy] briefly suggests deconstructing [the Dark Knight's] victories and of those around him, only to tilt all the way back. Ultimately betraying itself and its characters."
6,5/5,"Capping off such a successful series is a near-impossible task, with Nolan's circumvention of expectations being wholly effective, even with its minor setbacks in narrative absurdities."
7,5/5,The Dark Knight Rises presents itself as a deeply fascinating examination of Batman because it’s an examination and deconstruction of the previous two entries. A lot of the ideas present in The Dark Knight are deliberately flipped on their head here.
8,4/5,"It still might not be quite the conclusion we all wanted, but let's be fair, it is the engaging, exhilarating epic finale moviegoers deserved."
9,4.5/5,It’s a text book lesson on the melding of big budget flamboyance with smart and challenging storytelling.
10,,"[Christopher] Nolan thinks big and directs in like fashion, giving the film the scale of an epic and enormous set pieces that threaten to overwhelm the story."
11,4/4,"Christopher Nolan elevates his genre and stretches the limits of blockbuster filmmaking with a boldly artistic, wildly ambitious production that is as evocative as it is impressive."
12,,"I'll never relegate Nolan to the status of a Michael Bay, of course - he's not dumb, he isn't just surface flash. But he's not the Kubrick he thinks he is, either"
13,3.5/5,A spectacular but irregular closing to the adventures of Christopher Nolan and Christian Bale's Batman. [Full Review in Spanish]
14,,"The Dark Knight Rises colors the superhero film as it's come to be defined by Marvel in a grimier shade, and features multiple Oscar winners to boot."
15,5/5,"A brilliant example, through Batman and a superhero lens, of the power of revolution as a national myth, and how it can come to define a society."
16,7/10,"Even with a twisting mystery and numerous new characters, the lengthy and overly complex plotline overshadows many of the more fascinating elements."
17,3.5/4.0,It is the perfect film for what it needs to be.
18,,"The Dark Knight Rises may not always ""click"" intellectually, but it delivers some of the most rousing emotional highs of Nolan's career."
19,8/10,Here Christopher Nolan brilliantly closes the final chapter of one of the most amazing film trilogies of recent times. [Full review in Spanish]
20,,A GREAT FINAL for the trilogy. [Full Review in Spanish]
21,5/5,The Dark Knight Rises delivers a satisfying and emotional conclusion to a trilogy which will go down in history as one of the best ever. This is Christopher Nolan's crowning achievement and a perfect Batman film.
22,,"...RISES gives the finish Nolan's characters deserve, but to say it reaches the heights of [its predecessors] is predictably hard."
23,3.4/5,"This conceit feels somewhat stale this time around, but a fearsome turn by Hardy keeps the action taut and the film exciting."
24,3/5,A work that tries to honour and conclude the trilogy's politicking on its slippery themes of civic responsibility versus the value of self-preservation.
25,5/5,The Dark Knight Rises caps off the trilogy with a high but bittersweet note.
26,5/5,"So rousingly, so emotionally, and so incalculably gratifying."
27,3.5/4,"A sprawling, messy, thrillingly imperfect film that delivers on its promise to shock and awe the audience."
28,B,There's hope for Gotham and that makes me happy!
29,,"Isn't quite the game changer of the previous film. But it is still a dark and exhilarating epic, grounded in reality with a precise vision and craftsmanship that make it more than just another comic book movie."
30,,"The Dark Knight Rises not only celebrates a caped Übermensch but is itself, as a commercial enterprise, something beyond good and evil."
31,A-,"The ending is likely to have people talking, but there's no question that it's been set up properly."
32,5/5,The Dark Knight Rises is the pinnacle of epic movie-making and its scale and grandeur are unprecedented in cinema history. Nolan's biggest achievement -- and the real star of his third Batman film -- is Gotham city itself.
33,,Director Christopher Nolan has created a perfect trilogy.
34,3/4,"Hardy, in a miraculous performance, manages to communicate the intelligence behind the muscle using just his voice."
35,7/10,Nolan brings the Dark Knight trilogy to an ultimately satisfying and logical end.
36,,"Bad, stupid, lame, embarrassing, and seemingly interminable, full of main characters delivering long-winded speeches explaining their histories from childhood so we'll be sure to understand their motivations, which are murky and trite..."
37,B-,"The Dark Knight Rises is resonant, emotional, and sometimes beautiful, but it's also overlong, overstuffed, and oftentimes frustrating."
38,,Was there even a blockbuster that reminded us more of our imperfection?
39,,"Intense, deep and dark."
40,,"TDKR is, like the Batman films that have preceded it, an ideological muddle, but none has been so completely devoid of intellectual clarity."
41,4/5,"The Dark Knight Rises not only ends on a perfect note but it also, as a whole, rounds off the trilogy beautifully."
42,,The depth of feeling he brings to The Dark Knight Rises raises the bar yet again.
43,,"Maybe it's time to imagine some different fictions for a change, stories with a bit more humanity and a bit less carnage. And maybe the moon will fall out of the sky."
44,,"... it's still better than many movies, especially blockbuster types, but...It's just not one I feel compelled to make people see, like I did with The Dark Knight."
45,B+,"The Dark Knight Rises is the taut and satisfying finale to a beastly franchise that not only proposed new interpretations of a beloved tale, but it also re-engineered what we imagine a superhero movie to be."
46,,"The Dark Knight Rises is good enough though the storyline seems thin, a little better than a retread, and the special effects tinny."
47,,Begins' grounded comic-inspired origin tale and Dark Knight's masterfully brazen crime saga are closed off with a convoluted but intriguing societal revolution epic.
48,3.5/4,"The Dark Knight Rises may not reach the heights of its predecessor, but it is a worthy, epic conclusion to a trilogy that has raised the bar for an entire genre."
49,3/5,"'The Dark Knight Rises' tries to be very dark and serious. The problem is, that rubber-headed costume just looks sort of, well, comical, when things get too realistic."
50,,"Nolan somehow never loses control - this is an accomplished and tremendously confident filmmaker, both in the execution of his thrilling chases and action beats, and in his manipulation of the complicated, multi-faceted narrative."
