review_id,user_rating,review_text
1,100,"There’s not a great theme, a great performance or even a great scene in Boyhood. But I think it might be a great picture."
2,88,"When it's over, the sense is one of deep satisfaction - of having gotten to know a family in a way few motion pictures allow."
3,100,"The greatest movies, the ones that stick with us, are those that hold up a mirror to the human condition and reflect something back at us that we too often manage to overlook. Boyhood is one of those movies, and with it Linklater proves he is among the best practitioners of that art."
4,100,The film would be incalculably different if the lead role had been divided between two or three young actors for a conventional shoot. But Linklater’s patience allows us to see a thoughtful personality being formed both on and off the screen.
5,100,"In its own quiet way, it’s a world of marvels."
6,100,"This bold movie may sound like a stunt, but it’s so much more than that. Linklater is an effortless, genial auteur, and his passions are woven through “Dazed and Confused,” “School of Rock” and the “Before Sunrise” trilogy. Here, his mellow groove becomes an everyday rhythm."
7,100,"Is it dumb to say, ""Wow?""...I don't care. Wow."
8,100,"I'm as reluctant to stop writing about this movie as I was to stop watching it: At 166 minutes, it flies by, and you don't want to leave that world. But one thing is certain: This isn't the last word. People will be writing about this film for years - and looking at it to discover the lost history of our time."
9,75,"It is interesting even when nothing much happens, which is for most of its 3-hour running time."
10,100,"A home movie of a fictional home life, an epic assembled from vignettes, Boyhood shimmers with unforced reality. It shows how an ordinary life can be reflected in an extraordinary movie."
11,100,"The revelation is Arquette. While the focus is on Coltrane and how he grew up onscreen, it's Arquette that's at the center of this incredible journey. She puts herself out there year after year, getting knocked down and getting up stronger. Her final scenes have the power and heartbreak every parent knows -- it's all about holding a child's hand, then letting it go."
12,100,"The good news is you’re feeling stuff, you know? And you’ve got to hold on to that. You get older, and you don’t feel as much, your skin gets tough.” This remarkable, wonderful movie helps you remember."
13,100,"It’s the ultimate time-travel movie into the future, a “flowing time sculpture,” in Linklater’s own words."
14,100,"In completing this simple, beautiful project Linklater took his time. And he rewards ours."
15,100,"Boyhood is a stunt, an epic, a home video, and a benediction. It reminds us of what movies could be and — far more important — what life actually is."
16,100,"Boyhood is not just a great movie, it's a landmark achievement in film."
17,100,"As a film that dares to honor small moments and the life they add up to, Boyhood isn’t just a masterpiece. It’s a miracle."
18,100,"Once in a great while I see a movie I know I’ll be listing as one of my all-time favorites for the rest of my days. So it is with this remarkable, unforgettable, elegant epic that is about one family — and millions of families. It’s a pinpoint-specific and yet universal story."
19,100,"Linklater’s film is very much its own hybrid creature. While the dramatic scaffolding is lightly drawn, it becomes apparent that Linklater has organized his material along certain themes, most notably that of the passage of time and the dream life of childhood."
20,100,"Linklater’s newest film, a true masterwork, eschews this big-bang theory of dramatics in favor of the million-and-one little things that accumulate daily and help shape who we are, and who we will become."
21,90,"The profuse pleasures of Boyhood spring not from amazement but from recognition — from saying, Yes, that’s true, and that feels right, or that’s how it was for me, too."
22,100,"I love how Boyhood admits that, in certain ways, growing up stinks. Every character has a least one moment in which they have to heed the advice of Corinthians and put away childish things. None of them like it."
23,100,"It seems almost odd to talk of performances when they're as natural and unforced as they are in Boyhood, but they're fascinating, with the adults nearly as physically altered by time as the kids."
24,100,"Fortunately, Boyhood concludes on a note of such unbridled optimism, Linklater is defying you to leave the auditorium without a grin on your face. Indeed, few will after experiencing this astonishing cinematic treasure."
25,100,"In Boyhood, Mr. Linklater’s masterpiece, he both captures moments in time and relinquishes them as he moves from year to year. He isn’t fighting time but embracing it in all its glorious and agonizingly fleeting beauty."
26,100,"On rare occasions a movie seems to channel the flow of real life. Boyhood is one of those occasions. In its ambition, which is matched by its execution, Richard Linklater's endearing epic is not only rare but unique."
27,100,"One of the most extraordinary films in decades, this family drama is also one of the most ambitious in scope, having taken more than a decade to shoot. Yet it comes across as effortless and unassuming. Boyhood is an epic masterpiece that seems wholly unconcerned with trying to be one."
28,100,"Living with Mason and his parents over time you feel an intimacy, an empathy, a shared stake. I’m not saying Boyhood is the greatest film I’ve ever seen, but I’m thinking there’s my life before I saw it and my life now, and it’s different; I know movies can do something that just last week I didn’t. They can make time visible."
29,100,"Boyhood reimagines the coming-of-age film as family album, longitudinal character study, and collaborative artistic experiment — a mad risk that paid off in a movie that’s as transcendent as it is ordinary, just like life."
30,100,"An extraordinarily intimate portrait of a life unfolding and an exceptional, unconventional film."
31,100,"Extraordinary in form, ‘ordinary’ in content, Boyhood is ambitious, intimate and unforgettable. It might just be the apex of Linklater’s life’s work."
32,90,"If the movie is about any one idea in particular, it’s about how parents do their best to stay on top of how their children grow, by taking pictures and documenting the memorable occasions, only to learn too late that most of life happens between the posing."
33,100,"Like Michael Apted in his ""Seven Up!"" documentary series, Linklater makes you feel as if you're watching a photograph as it develops in the darkroom."
34,100,"Want to know what it's like to be in on the discovery of a new American classic. Check out Boyhood. Richard Linklater's coming-of-age tale is the best movie of the year, a four-star game-changer that earns its place in the cultural time capsule."
35,88,"Linklater ambitiously shot his new effort over a period of 12 years with the same cast, showcasing what turns out to be an astonishing performance by newcomer Ellar Coltrane, who grows up from 6 to 18 before our eyes over the course of 164 minutes."
