review_id,user_rating,review_text
1,100,No one interested in the power and magic of movies should miss it.
2,30,"Too self-consciously dark, too aware of its long, murky, art-designed descent into the underbelly of America's addictive personality."
3,88,A powerful fable about love and addiction that manages to be darkly humorous when it isn't graphic or harrowing in the extreme.
4,63,It's one of the most beautifully unpleasant movies ever made - its reverse charge being that it is no fun at all.
5,60,"Aronofsky has given us a well-acted, gorgeously overwrought and luridly entertaining exploitation flick -- a midnight movie for future generations."
6,70,"May be an elaborate stunt, a bungee jump, but even so, it's forceful enough to leave a rare palpitating residue."
7,60,"While director Aronofsky pistol-whips your attention with his style, the characters (mostly relegated to human mannequins in Aronofsky's visual schemes) suffer big time."
8,58,"To be fair, Aronofsky has a knack for stylistic overkill, and his hammering onslaught is undeniably riveting, at first anyway."
9,20,"In the end the movie goes nowhere a hundred movies haven't already been and tells us nothing we don't already know. It does so with so much violent energy, however, it's like four brutal years at film school crammed into an hour and a half."
10,100,Aronofsky has fashioned a chilling vision that lives up to the caustic irony of its title and gives us a nightmare that is not lightly forgotten.
11,60,"Chilling and technically proficient and, also, fairly hollow."
12,100,May be the first movie to fully capture the way that drugs dislocate us from ourselves.
13,70,"Becomes increasingly unwatchable -- not just bleak but punishing, as if the director wants to fry your circuits along with his characters'."
14,38,"It's two hours of slumming in a vision of hell hatched from bourgeois comfort. That, and not its unsavory subject matter, is what makes it bummer theater."
15,50,"Solid acting helps the story stay earthbound when Aronofsky's filmmaking gets addicted to its own flashy cynicism, but the picture sometimes seems as dazed and confused as the situations it wants to criticize."
16,80,"The tremendous power of Aronofsky's filmmaking -- its omnivorous omnipotence, if that makes any sense -- has the curious effect of diluting its emotional impact."
17,50,Far too complex and provoking.
18,70,"Love it or hate it -- and I suspect, frankly, most people are going to hate it -- this is like no other film you've ever seen."
19,88,An unrelentingly dark vision that's as hard to watch as it is impossible to walk away from.
20,75,"Often, Requiem for a Dream is as technically inventive and daring as the Scottish heroin film ""Trainspotting,"" but it has more resonance and feeling. And when Burstyn is on screen, it often becomes heartbreaking."
21,90,"Be warned: it's a downer, and a knockout."
22,90,A work of art whose beauty has the eternal power of redemption.
23,70,"It&#8217;s technically striking filmmaking, to be sure, but what it&#8217;s presenting is nothing that many people will want to look at."
24,91,"Burstyn is astonishing, forsaking all vanity to make silly biddy Sara a fully dimensioned human being."
25,100,"He (Aronofsky) has put together a phantasmagoria of self-destructive obsession that is so visually astounding it becomes its own saving grace. Otherwise, we might not be able to bear it."
26,90,"A fluent, intelligent piece of work whose sex and violence are anything but gratuitous, and exactly the kind of highly personal, no-holds-barred vision of life on the ragged edge that independents always aspire to but rarely have the goods to achieve."
27,88,"Aronofsky brings a new urgency to the drug movie by trying to reproduce, through his subjective camera, how his characters feel, or want to feel, or fear to feel."
28,88,"Locks in on its self-destructive subjects so precisely, it's almost unbearable to watch."
29,70,"This bleak vision directed by Darren Aronofsky (""Pi"") is pointless with good reason."
30,78,Haunts the memory long after you've left the theatre.
31,88,Easily the most searing movie-going experience of the year.
32,49,Never the heart-wrenching emotional experience it seems intended to be.
