review_id,user_rating,review_text
1,80,"Another strong, sparky and bloody entry in the QT canon. Although, creaking under its running time, it's not quite as uproariously entertaining as his last pseudo-historical adventure, ""Inglourious Basterds."""
2,100,"What Tarantino has is an appreciation for gut-level exploitation film appeal, combined with an artist's desire to transform that gut element with something higher, better, more daring. His films challenge taboos in our society in the most direct possible way, and at the same time add an element of parody or satire."
3,100,"The film doesn't play it safe, so neither will I. Instead, I'll say that it finds Mr. Tarantino perched improbably but securely on the top of a production that's wildly extravagant, ferociously violent, ludicrously lurid and outrageously entertaining, yet also, remarkably, very much about the pernicious lunacy of racism and, yes, slavery's singular horrors."
4,50,"By the time Tarantino shows up as a redneck with an unexplained Australian accent, Django Unchained has mislaid its melancholy, and its bitter wit, and become a raucous romp. It is a tribute to the spaghetti Western, cooked al dente, then cooked a while more, and finally sauced to death."
5,90,"Django Unchained is by turns exhilarating, hilarious, horrifying and poetic."
6,50,By the two-hour mark the fun had oozed out of the movie for me. It's long. Or feels it.
7,78,"Despite these quibbles, Django Unchained offers an embarrassment of riches (and actors in tiny cameos)."
8,88,"The movie Quentin Tarantino has written and directed is corkscrewed, inside-out, upside-down, simultaneously clear-eyed and completely out of its mind."
9,75,"Will Tarantino, who is more talented than he allows, ever break out of his perpetual adolescence and make a movie that does more than glorify his love of schlock? Will we ever get a ""Tarantino Unchained""?"
10,75,"Django Unchained is the most brutal film Quentin Tarantino has ever made. Unlike ""Kill Bill"" or ""Inglourious Basterds,"" where the violence was thrilling and carried a visceral kick, the carnage here is often ugly and difficult to watch."
11,91,Tarantino simply isn't a good enough performer for his presence to be anything but a distraction in a rip-roaring crowd-pleaser this consistently great.
12,100,"In ""Django,"" Tarantino is a man unchained, creating his most articulate, intriguing, provoking, appalling, hilarious, exhilarating, scathing and downright entertaining film yet."
13,100,"Like ""Inglourious Basterds,"" Django Unchained is crazily entertaining, brazenly irresponsible and also ethically serious in a way that is entirely consistent with its playfulness."
14,80,"It's that zippy dialog more than anything that moves ""Django"" along and that coaxes such fantastic performances from its actors."
15,91,"Django doesn't have the razor-sharp chronological complexity of ""Pulp Fiction,"" but it's ably paced.  A very funny scene involving a proto-Ku Klux Klan lynch mob and their poorly made hoods nevertheless seems a bit out of place, but there's plenty of well-timed suspense."
16,100,"The most consistently entertaining movie of 2012. It's 165 minutes long and shouldn't be a minute shorter, a film of surprises, both in story and in casting, and of moments of agonizing, teased-out tension. The dialogue is dazzling."
17,50,"Django Unchained provoked a lot of contradictory feelings in me, including some that don't usually come in pairs: Hilarity and boredom. Aesthetic delight and physical nausea. Fist-pumping righteousness and vague moral unease."
18,100,"With a fearless director and his mighty pen freeing a talented cast to attack a vital theme, Django Unchained is damnation unleashed."
19,63,"Breathes its own refreshing, occasionally demented, life into that time period, albeit in a pulpy, stylized cinematic language more akin to vampire-hunter cartoonishness than ""Lincoln's"" more classical reserve."
20,80,"Whatever you like or hate, or like and hate, about Quentin Tarantino's movies, is in full display here. It's long (too long) and bloody, profane and gleeful, with movie-genre references stuffed so tightly into each scene they practically spill out onto the theater floor. Restraint is not his strong suit...Entertainment is, and Django has plenty of that."
21,88,"Despite the occasional brutality of the material, Django Unchained includes some of the best laugh aloud scenes of any 2012 motion picture, regardless of the genre."
22,80,Django Unchained doesn't merely hit its marks; it blows them to bloody chunks. It's manna for mayhem mavens.
