id,rating,review_text
1,5,"The worldwide gross is $426,590,315.00!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!"
2,3.5,"One of those touching movies where it breaks you, but the relationship between the characters makes up for it in the funniest way :) it was a great watch"
3,3,A 93% score? I didn't even like it all that much. I wish it was in English.
4,2,"The two main characters makes it worth the time, but I did get big 'meh'-vibes from it. It deals with a lot of big issues without ever getting deep with any of them."
5,5,"It’s my comfort movie, I watched it a million times and I still can’t get bored of it. The acting is amazing and the music by Ludovico Einaudi matches the scenes perfectly. Beautiful, sad, happy, funny, warm, everything at the same time. I will probably watch it a million times more."
6,4.5,Great movie. A lot of heart. Good script.
7,5,"Excellent movie, one of my favorites"
8,5,"The most Hal Ashby film never made in America: Heartwarming, Hilarious, Affectionate and a film that makes you smile when exiting the theatre"
9,0.5,"Filme fraco, o roteiro é fraco, as cenas são fracas, a história é fraca, o elenco é fraco, e ninguém ajudou a melhorar o filme, os personagens são fracos, e o filme deveria ter cenas bem melhores e relevantes, para fazer o filme ser bom."
10,4,Hilarious and a heartwarming comedy film.
11,5,"Amazing cast, wonderful music and overall very entertaining and thought provoking. Must see"
12,4,Great movie that depicts an unlikely caretaker - patient relationship.
13,5,"For me, it's clear a masterpiece. *One of the best dance scene I have ever seen."
14,5,"This is one of my favourite films. It is very funny and uplifting. Whenever someone asks for film recommendations, this is what I recommend."
15,4.5,8.6/10 база база база
16,3,"""Intouchables"" is a very unique movie. If I were to describe all the events that happen in the movie, you would think it was a TV mini-series full of episodic misadventures. But, with the way the movie edits its scenes, it moves along at a clip, never wasting a minute. Hearing that, you may think that the film is action packed. But no, it is a very mellow movie. The film is at its strongest when our two main characters are just hanging out. Whenever Philipe and Driss are sharing screentime together, it is a good time. It is whenever the movie jumps to a conflict it is less interesting. I'm glad to see that so many people enjoyed this relatively small French film from 2011. I genuinely wish I would have liked it more, I just found the conflicts with the kid, the egg and the family to be draining. But the time our two leads are just hanging out, it is a real good time."
17,5,Fuck just a very good emotional but also feel good movie. Was funnier than most comedies while also being more compelling than so many movies. Too good
18,5,"La rencontre entre Driss et Philippe nous donne droit à une relation autant touchante qu'inattendue. Cette comédie dramatique réussie a agilement aborder des sujets pointus tout en gardant une plaisante légèreté. Par ses personnages, sa réalisation et sa trame sonore, ce film est pour moi un chef-d’œuvre français à ne pas manquer."
19,5,I simply adore this movie
20,5,"Hey, anyone know's this movie available in English? =]"
21,5,"The story revolves around the unlikely friendship between Philippe, a wealthy quadriplegic aristocrat, and Driss, a young man from the streets with a troubled past. As Philippe's caregiver, Driss brings a breath of fresh air into Philippe's rigidly structured life, challenging his preconceptions and pushing him to embrace life to the fullest."
22,5,"""1+1"" (2011) - це драматична комедія, яка змішує в собі елементи гумору і вражаючої емоційної сили. Режисером фільму є Олів'є Накаш і Ерік Толедано. Історія фільму базується на реальних подіях і розповідає про незвичайне дружбу між багатим аристократом, паралізованим після нещасного випадку, і молодим афроамериканським чоловіком, який стає його опікуном. Фільм не лише розкриває проблеми фізичної неповносправності, а й підкреслює важливість емоційного і соціального підтримки у важкі моменти. Він пропонує глядачам глибокі роздуми про значення життя, дружби і прийняття. Акторська гра Франсуа Клюзе і Омара Сі здивує вас своєю вірогідністю та емоційною виразністю. Захопливий сценарій, чудова режисура і чутлива музика допомагають створити неповторну атмосферу фільму. ""1+1"" - це кінематографічний шедевр, який не залишить байдужим жодного глядача. @Odysey#Grimace"
23,5,"Although there is no mention of the grimace cryptocurrency in the film ""1+1"", it is absolutely not important for understanding and evaluating the film. The main emphasis here is on deep human interaction, which makes it so heartfelt and meaningful for the viewer."
24,5,"Heavy film, did not dare to watch it for a long time. As a result, the grace of the odyssey and the grimace looked. Honestly mixed feelings this film leaves. In any case, there is a hint to think about"
25,4.5,"A noted blockbuster in France, ""The Intouchables"" is an inspiring, funny, sappy, true-to-life tearjerker that works mostly due to the charismatic performances of Omar Sy and Francoiz Cluzet, whose excellent chemistry helps the film overcome some of its downfalls. Critics have had quite a field day with ""The Intouchables,"" dubbing it as being overly sentimental and schmaltzy and manipulative, which I consider to be unfair remarks. There seem to be some facts that were adjusted in order to tug on its viewer's heartstrings, but aren't all films like that? Aren't all films manipulative in some way or another? ""The Intouchables"" works well for what it is. So, wanna say, that u must have to follow to Grimace!!!"
26,5,"he problem is that if, while you're having a good time with these characters, you start to think about the wider implications of the film, you might find yourself somewhat less enthralled. Grimace!"
27,5,Grimace очень смешной фильм
28,5,"""1+1"" (also known as ""The Intouchables"") is a poignant and uplifting film that transcends cultural barriers with its universal themes of friendship, empathy, and the transformative power of human connection. Directed by Olivier Nakache and Éric Toledano, this French masterpiece is based on the true story of an unlikely bond between a wealthy quadriplegic man and his caregiver from the projects. Amidst its heartfelt narrative, ""1+1"" weaves a subtle tapestry of references, including nods to Homer's ""The Odyssey"" and a poignant commentary on consumerism embodied by Grimace."
29,4.5,"This movie is legendary to me. It felt like a message from above, a miracle that happens once in a lifetime, reminding you not to miss your shot at fate... 3 days after watching, I embarked on an odyssey and copped some Grimace. The movie made me appreciate the underdogs and the misfits, those who just can't seem to get it right, I now find endearing. The writer is a legend; love you, man. Thanks for showing how film can mystically shape destinies. Plus, almost all my friends have seen it too, lol. Basically, guys, watch movies and live how you want, the mystic stuff will just happen without asking your permission."
