review_id,user_rating,review_text
1,88,"At two hours, the movie is probably 15 minutes too long --  the final half-hour in particular could have used some trimming --  but complaining about having too much of a good thing makes one sound like a grouch."
2,60,"The lanky, wide-eyed Tautou is so phenomenally charming -- her smile could sweeten vinegar -- as to make Amelie irresistible."
3,50,"The ease with which the perky, big-eyed heroine ingeniously succeeds in improving the lot of everyone around her and the painterly manner in which reality in every inch of the frame is ""improved"" constitute both the ""quirky"" charm and the pure fishiness of the film."
4,100,"Joyous. This is a film that will put a goofy grin on your face from the opening frame, through to the credits, out into the lobby, the whole way home, and possibly even till you fall asleep."
5,83,"A big-hearted French movie that shines with wit, beauty, humor, sunshine and the love of love."
6,100,"A feel-good movie, in the absolute best sense."
7,100,"A movie for aesthetically hungry moviegoers: wildly amusing, sometimes sardonic and always touching. There's so much here, and all of it delightful."
8,75,"A slick, sweet, fast-paced, feel-good romantic fantasy that's fairly irresistible if you can keep your cynicism in check for a couple of hours."
9,70,The screen is saturated with Gallic whimsy and the romance of Montmartre in the person of Am&#233;lie.
10,89,A film that wants you to get happy.
11,88,"Delightful and original, the film conjures up a corner of Paris distinct and specific, yet fairy-tale fanciful."
12,90,"There is no denying that Amélie is, to paraphrase its title, fabulous."
13,40,"Features an aggressive, in-your-face romanticism that's noticeably lacking in genuine warmth. While its story of lonely misfits searching for love has appealing moments, more often it turns into an overbearing fable overburdened with fake joie de vivre."
14,40,The problem is that the charm and good spirits of Am&#233;lie feel calculated rather than natural.
15,91,"The charming movie, already an international success, seduces."
16,63,"Whether you're charmed or bored by the movie depends entirely on your feelings for Amelie, a young woman whose hyper-quirky personality both takes some getting used to and grows old fast."
17,40,"As a director, he seems incapable of trusting his actors to carry the mood, preferring always to lend them a backup -- jokes, fripperies, kooky camera angles -- that they don't require. [5 Nov 2001, p. 105]"
18,70,"Jeunet wants us to know that times are hard for dreamers and that one shouldn't pass up a chance for true love. He means it, no doubt, but he doesn't have the simplicity of soul to quite bring off the sentiment. Still, we're charmed by the attempt."
19,80,"An endearing film, and a fascinating one."
20,88,"A delicious pastry of a movie -- You see it, and later when you think about it, you smile."
21,100,"This is the Paris -- and the mad, beautiful young Parisienne -- we look for in dreams."
22,80,"Fresh, funny, exquisitely bittersweet tour de force."
23,75,"A charmer, a movie whose embrace of cinema is so passionate it could be mistaken for an embrace of life."
24,60,"Not a film for everyone, but if you're in the mood for a little sensory overload, some spirited intellectual gymnastics and an introduction to the most intriguing new actress Europe has produced in years, get in line with the rest of the thrill-seekers."
25,63,"Akin to being force-fed sugary confections from a bottomless bowl. At first the idea seems just grand, but after a while, all you want to do is scream, ""Enough!"""
26,88,"Irresistibly endearing, with a visual verve all its own."
27,50,"You could get drunk, or ill, on the high dose of whimsy in Amelie."
28,20,Sucks -- because it's a frenetic bore that insists on its audience's adoration while making no demands upon their intelligence.
29,100,"The movie is never mechanical or emotionally contrived, and at its heart is a guileless, enchanting performance by Tautou."
30,75,"The barometer for whether you'll enjoy Am&#233;lie is whether you liked ""Moulin Rouge"" last summer. If snappy visuals, tangy colors, mood-drenched scenery, and a good-hearted heroine make you as happy as a box of Parisian chocolates, it's definitely for you."
31,90,Amelie is joie de vivre in a nougat.
32,88,A feather-light meringue of a romance to remind us there will always be a Paris.
