id,tomato_score,review_text
1,positive,An emotionally shattering waking nightmare of war.
2,positive,"It was a punishing experience watching Come and See, but that does not mean it’s an unforgiving one. It is a film I may not ever watch again, but it is one I’m ultimately grateful for and one I doubt I will ever forget."
3,positive,"Come and See is a nightmare. It’s a rare film, along with select company like Lost Highway, unnervingly accurate in mimicking the powerlessness and ceaseless torment of the worst nighttime experiences."
4,positive,This 1985 Soviet anti-war drama is one of the best movies ever made.
5,positive,"The movie is terrible and pitiable. Klimov manages, as I say, to convey the authentic relentlessness of nightmare."
6,positive,"Come and See is as harrowing and horrifying a war film as I've ever seen. It may well be a masterpiece, in fact."
7,positive,"Rare is the film that successfully blends intoxicating visual images with unrelentingly grim material, but Russian director Elem Klimov's phenomenal Come and See is such a movie."
8,negative,"The movie is a succession of brutally sincere ""art"" assaults, jammed together like the poorly articulated cars of an old freight train."
9,positive,This is filmmaking of enormous power and feeling even if the film's length mitigates against it.
10,positive,"The power of Come and See principally derives from the inspired performance by Kravchenko as Florya, in what must be the ultimate loss-of-innocence role."
11,positive,"A compelling, harrowing, absurdly beautiful account of the little known holocaust in Byelorussia."
12,positive,Very few war movies from any country -- including our own -- pummel our insides like Come and See.
13,positive,"Director Elem Klimov keeps the human drama of the ordeal in sharp, clear focus at all times, while still giving the story the sweep of an epic unfolding -- an impressive balancing act."
14,positive,"It's apocalypse caught in the act, a spellbinding, dangerous ""excursion into hell."""
15,negative,"There's passion and exuberance in Klimov's work, but the essential crudity of his sensibility undermines it. At times, especially when the camera angles veer into grotesquerie, it suggests a Soviet Ken Russell movie."
16,positive,"An overwhelming statement on the horrors of war, Come and See takes an unusual tack in relating a story of World War II. This is a psychological drama -- a harrowing, grueling journey into a young boy's mind as he tries to survive a very real nightmare."
17,positive,"It has a raw, primitive force that makes you realize how much of our own horror of the last war has been diminished by Hollywood heroics or simply box-office co-existence with the enemy."
18,negative,"These hysterical histrionics would put me off in any circumstances, but especially when emphasizing horror that speaks for itself."
19,positive,"The film is a sustained act of looking, with a minimum of dramatic or character development, and these are sights that leave an indelible impression as strong or stronger than any antiwar film in memory."
20,positive,"Come and See is a stirring, unremittingly powerful war drama that has the rare double virtue of constantly engaging both the eye and the emotions."
21,negative,"142 minutes of lushly photographed Nazi obscenities. While the movie is technically excellent, and the director's point is well made, Come and See takes way too long a look."
22,positive,"By telling the story from a child’s perspective, Klimov gives the horrors of war a new kind of immediacy. Not one born from stern men turned tragically hollow, but from a pure spirit prematurely drained of their innocence."
23,positive,"Klimov’s dramatic vitality, his control of shifting tones, and his mastery of surprise are what galvanize Come and See. Terrifying as this movie is, we always want to know what happens next."
24,positive,"A product of the glasnost era, Come And See is far from a patriotic memorial of Russia's hard-won victory. Instead, it's a chilling reminder of that victory's terrible costs."
25,positive,"Klimov's film deserves to be ranked alongside pretty much any pillar of the genre you can think of, and arguably outclasses most of them."
26,positive,"I do not believe any human being can watch this alarming film and ever be the same. No words can prepare you for this experience. No matter what I write, the effect it will have on you remains the same; “Come and See” will shake you to the core."
27,positive,"Even the word ""masterpiece"" feels thin gruel, reductive -- the film goes beyond the idea of art and the ability to talk about art and it becomes an experience."
28,positive,"They say war is hell, but very few films make that saying true like Come and See."
29,positive,A documentary more perturbing than any horror film. [Full Review in Spanish]
30,positive,"An unrelenting experience, yet it's filled with a kind of grim, haunting beauty that's hard to shake, recalling Tarkovsky almost religious sense of weight in its remarkable evocation of horror and utter despair."
31,positive,One of the most devastating depictions of conflict ever placed on screen.
32,negative,"Come and See is grueling to watch. Klimov gets so involved in constructing a poetical/symbolic framework for Florya's suffering that the film strays into vague, plotless terrain where one dream looks like the next."
33,positive,"""...Come and See is a grueling masterwork..."""
34,positive,"""Come and See"" is a paradox: a visceral freefall into barbarism, but also a controlled, sometimes contemplative descent."
35,positive,...the strong notes of horror that are present in Come and See from the very beginning...advance to the front as absurdity mutates into nightmare.
36,positive,Most of the movie comes as close to what war must be like for the civilians caught in its midst as we would ever want to get.
37,positive,"This is a film that argues for and thoroughly understands the urgent, present-tense, shifting surreality of war. It is not merely a narrative reimagining of that experience."
38,positive,It suggests that a war's horrors were the ultimate unassimilable experience of the shadowy depths of the human mind.
39,positive,"""A true classic of anti-war cinema""."
40,positive,I have rarely seen a film more ruthless in its depiction of human evil.
41,positive,"Perhaps the most terrifying, nightmarish film anyone has ever made about war."
42,positive,An unforgettable nightmarish vision of excessive violence and cruelty.
43,positive,"Every scene drives home its point, plainly, that man's inhumanity to man is incurable."
44,positive,"a helluva journey, told with with brutal bluntness and numbing, unflinching realism."
45,positive,Or: Ivan Got His Gun
46,positive,"One of the greatest films ever made, Elem Klimov's anti-war masterpiece is ironically named, as those with weak stomachs may want to steer clear."
47,positive,"Stalingrad-born Elem Klimov's ""Come and See"" is a undiluted expression of cinematic poetry in the service of an unspeakably turbulent anti-war narrative about the 628 Byelorussian Villages burnt to the ground along with their inhabitants by the Nazis duri"
48,negative,"I suppose that never forgetting has its place, but not when it insists on such narrowly righteous fantasies of revenge."
49,positive,"Come and See, the last and most notable film made by the former Soviet director Elem Klimov, is another fusion of popular and vanguard styles, albeit put to more civic-minded use."
50,positive,"In Klimov's unshakable vision, death is casual, safety is impossible and beauty is backwards: this is peerlessly gorgeous filmmaking about absolute ugliness."
