id,reviewer_name,reviewer_username,date,rating,review_text
1,Par H,Parhwy,6d,4.5,"Parasite has one flaw: there are an incredibly small number of flaws compared to many, many other films. It is not the acting. Not the cinematography. Nor the characters. Nor make-up. Nor costuming. The only flaw to be mentioned is a plot step: that the old housekeeper is let back into the house without due cause when the Kims are in the middle of partying it up at the Park’s house. It’s crucial yet weak. Perhaps it’s a cultural thing? Given they manipulated her out, her presence is risky even at a base level. It’s essential to the final scenes. Aside from this belaboured whinge, this film is so funny, so clever and so pretty. When Mrs Park said ""Do it clockwise"" I laughed loud and long. All scenes and settings are chockers with aesthetic. The Kim’s house, Park’s, streets, car interiors… just so much wow. The ending puzzled me however the final act is brutal. The finale tells more than shows more so than any other section. Rewatch? Yes. Recommend? Yes."
2,Jane C,JaneConquest,Feb 26,5,"Remarkably well done. First watched it a few years ago, and it’s only gotten better."
3,din d,L1J2K3,Feb 22,4.5,"Just the base idea of this film is gratifying enough but the other twists and turns this story takes emphasizes the importance and story much more. The story itself is so well thought out and put together that I wouldn't be surprised if it was based on a real story. Wherever this movie goes, even when some of the crazier things happen it always has this sense of realism, and with an ending as emotional as this movie has it's hard not to give a round of an applause to Parasite."
4,Richard M,Frogbreath81,Feb 20,5,"Excellent original story telling. With a phenomenal cast and a phenomenal script, this what true cinema should feel like. All characters are equally important and equally strange."
5,Charlie B,Charliebird,Feb 12,2.5,"This movie is overrated in my opinion. It keeps you confused the whole movie then doesn’t deliver on any meaningful twist. Plus, what did poor people ever do to who ever wrote this? The real parasite class is the richest people not the poorest."
6,Rebecca K,mbearkouider,Feb 3,5,A perfect film. Every shot is meaningfully composed with stunning visuals; every actor gives career-best performances; the story stays with you and demands to be thought about; many memorable scenes and sequences. Just an incredible piece of work.
7,Aria S,aria918,Jan 31,5,One of the best films of all time.
8,Thorsten L,Thor81,Jan 31,4,"I only came to like the film on a second viewing. On my first attempt, the family annoyed me; the second time around, I was able to focus much more on the visual language and the imagery. A truly convincing social film — and an answer to the question of what poverty smells like. (That said, even though Bong Joon-ho made a genuinely great film, I still believe Sam Mendes should have won the Best Director Oscar that year.)"
9,Sávio S,s.miranda-7,Jan 29,4.5,"o simbolismo esta em todas as partes, a mensagem trazida do ponto de vista de classes sociais trás uma reflexão primorosa sobre o próximo, a batalha diária na qual figuramos na vida dos outros, e a ganancia por trás dos falsos humildes que querem ser como aqueles que eles mesmos criticam."
10,Nick O,nottergode,Jan 28,5,"One of the best films I’ve seen in years! There’s hardly any good films anymore. And maybe 1 or 2 great ones a year. This is one of them. Every performance is layered with complex, tragic, and morally grayness. The soundtrack is constructed beautifully, the sets are impeccable, and the story has so many twists and turns you’ll never see coming. It goes from a comedy, to a thriller, and finally a tragedy. Just wow!"
