id,user_rating,review_text
1,4/5,"…over two films, Joker looks rather different from the edgy-origin story this was taken to be on initial release. ..the second film amplified the messaging but that corrosive message about the dangeous direction society was heading was here all along..."
2,,"It had me at the beginning and the last half hour or more is superb, but Phillips earnest, deliberate efforts to tie it into the DC Comics universe and heavy-handed stab at making it germane to socioeconomic issues hurt my suspension of disbelief."
3,1/5,"Joker, directed by Todd Phillips, is the worst kind of bad film. It’s a technically proficient and gorgeously presented falsehood. One that rejects responsibility as it strives to understand and empathize with the stereotypical white mass murderer."
4,9/10,"The environment and its atmosphere are a central aspect narratively, that is why Joker begins with a description of that city which, like New York from Taxi Driver, is represented as a putrid place with social violence and rising class resentment."
5,,"Joker is what so many controversial films turn out to be: it’s fine — neither masterpiece nor trash fire, well-executed in some parts and poorly thought out in others."
6,B,What the film wants to say — about mental illness or class divisions in society — is not as interesting as what it accidentally says about whiteness.
7,5/5,a clever gem of a movie that approaches its complex themes with extreme simplicity.
8,,The joke in both cases is that the director both gets to disavow white male murderousness and claim credit for it.
9,A,It's not a film about the Joker. It's a very realistic portrayal of someone (anyone!) who can become someone like him. And it's disturbingly brilliant!
10,,"""What do you get when you cross a mentally ill loner with a society that abandons him and treats him like trash?"" That’s the question asked by the titular character of Joker, a film that luxuriates in giving us the answer."
11,,Joker becomes the first movie based on comic books that I actually enjoy.
12,2/4,"The theatrical trailer for Joker -- tight, controlled, and intriguing -- suggested the best movie Martin Scorsese never made. The actual movie is a shallow and sophomoric effort that isn't about a raging bull as much as it's merely raging bulls***."
13,4/5,"What makes this world so successful is the message. ... Negativity, like the trash, builds up over time when people are too stubborn to see the other perspective and compromise. There's a social divide in Gotham City that feels very real."
14,3/4,"In the simply titled Joker, we get yet another version and this one is probably the most toxic of them all and not in a satisfying way."
15,5/5,"As “Joker” slow-walks us towards its eventual maelstrom of iniquity, it never spells out how we should feel about its titular character."
16,4/5,"Joker is violent, raw, and hits closer to home than many are willing to admit."
17,5/5,"Phoenix's preparation for and commitment to this role honours Ledger and his other predecessors, with an exhausted physicality, contortionist and Gollum-gaunt."
18,B,The Joker is a powerful idea about accountability in our society but it's clear the script wasn't there. Luckily they were able to make it work with improv and interpretive dance.
19,2.5/4,"It's less a genuinely transgressive approach than one closely modeled on the work of Martin Scorsese, and thus more an exercise in homage than rebellion. Even so, that won't stop people from aggrandizing it."
20,4/4,"Every decade has that one transcendent film that, as time progresses, ultimately becomes a classic for cinephiles. As the 2010s decade comes to a close, the one film that will undoubtedly age like a fine wine is Todd Phillips masterpiece, Joker."
21,D,"As committed as I was to Phoenixs performance, I found myself walking out of the theater wondering, why did we need to tell this deeply violent and triggering story now? Where does DC go from here and this standalone film?"
22,,"If cinema's job is to make us feel, to make us reflect upon how we've been living life, and to acknowledge some of its own brand of crazy, then I think Joker did a damn good job."
23,,It's a disappointing film only because it could have been so much better.
24,5/5,"[Phoenix as the Joker] burns like he were an archangel on heroin, a contorted otherworldly presence that under a different constellation of stars would have ended up a saint."
25,7,"Ultimately, Joker is neither deserving of the controversy it's stirred up nor some of the praise it's received. Phoenix's performance is the highlight of what is ultimately a relatively tame film."
26,5/5,"An instant classic that sees Joaquin Phoenix translate a discombobulating sensation from the screen to your senses, while director Todd Phillips creates a melancholic psychodrama..."
27,4/5,A male rage manifesto with ugly societal truths.
28,,"Although it has some of the hallmarks of a mainstream movie, there's little that's entertaining about Joker. Phoenix's version of the character is uncomfortable, and his off-putting nature will likely not inspire many repeat viewings."
29,4/5,It may not be a deep or realistic study of mental illness but it showcases Arthur's weariness at being treated as the cigarette butt under society's heel.
30,C+,Joker is nothing more than a shallow homunculus of better films.
31,,"Phoenix gives the performance of his career, one already filled with admirable, transformative performances. But this one is different. This one is his cry for Oscar gold, and the masses will surely be chanting his name and singing his praises on high."
32,4/5,"... this is an R-rated origin story for one of the most deranged, murderous villains in fiction, and the film reflects that. It may not make you feel good, but it will make you feel something, and sometimes that's enough."
33,4/10,Surely the most realistic depiction of a supervillain becoming a supervillain thus far.
34,,"Joker is a subversion of the trope of the hero's journey, made for a villain."
35,,"Without Mr. Phoenix, Joker would be kind of dull."
36,,"Joker is repulsive, cynical garbage that tries acting more meaningful than it actually is."
37,,"Joker is a one-man show...the riot scenes near the end of Joker reflect something true in society, and they brought the film out of its shell."
38,3.5/4.0,It's one of 2019's most unforgettable cinematic experiences.
39,9/10,A comic book movie with sufficient creative liberty to become a psychological thriller that talks about the darkest feelings of human reality. [Full review in Spanish]
40,,"Repellent and pitiful at the same time, Phoenix is absolutely riveting."
41,3/5,"Phillips constructs a palpable sense of down-and-dirty dread, helped by Phoenix's commitment ... but the movie stops short of ever expressing an opinion."
42,4.5 / 5,"The curveballs that Joker will throw at you stay in your head for hours afterwards, as does the haunting collapse of its protagonist."
43,3/5,"It all reminds me of a Goth teenager: He dresses in black, circles his eyes with mascara and mopes around in his room, all the time with no idea what he's so depressed about."
44,3.5/4,"Don't expect a Marvel action flick for kids. This is a gritty character study, one where fans and critics can all agree on one thing: Joaquin Phoenix could laugh all the way to the Oscars."
45,3.5/5,Undeniably compelling.
46,,"While drawing heavy influence from previous Scorsese movies, Joker boasts a great performance from Phoenix and shows that darker comic book films continue to have a place in a family-oriented realm."
47,A-,"What an electrifying performance by Phoenix ... It's the work of a fearless performer, and the result is an acting masterclass."
