id,rating,review_text
1,4,"Not my favourite Tarkovsky movie but very good all the same, Visually superb but some of the rambling intellectual conversations tend to drag a little while the use of poetry was more effective as it was used sparingly. The opening and closing scenes were very effective. As ever with Tarkovsky, there is nothing else out there quite like it. An artistic triumph. Will need a re-watch."
2,5,Mesmerizing! Everything in this movie is magic!
3,5,Loved it. Loved the source book “ Roadside Picnic” even more!! Read the book!
4,1.5,"Pretentious crap... and the pretentious response will be... you just didn't get it; it was over your head... yeah, okay... The pacing of this film is terrible-- a few really interesting lines, followed by twenty minutes of utter tedium, followed by an interesting monologue with some ""profound"" insights, followed by another twenty minutes of mind numbing boredom... and on and on and on... It explores some interesting ideas, but the story itself sucks and we have no reason to care about these characters... You could write a fascinating paper about this film, and it would probably be a lot of fun to discuss in some sort of film group, but the experience of sitting through it is not enjoyable. It has its moments, for sure, but as a whole, it is tedious... Pretentious crap. 100% from the critics? Give me a break..."
5,4,"Me hizo reflexionar sobre la esperanza y lo cruel de la vida, de que a pesar de las circunstancias siempre tenemos esa esperanza de que todo algún día va a cambiar para bien, de que haríamos lo que fuera por cumplir un deseo."
6,4,"I liked this movie in my 20s, I still find it a visual and contemplative masterpiece. Watch Solaris if you want stronger foundations.."
7,5,Tarkovski - sinemanın ruhani atası...
8,3.5,This feels like the kinda of movie which gets better on rewatch but for the frist time watching it found it very captivating. I love how it's movie thats about something in an age of so many generic film it's refreshing to see a movie that's actually about something. The themes were very interesting and it dives into the human condition. The film was very interesting but the reason I can't yet rate it higher is because I feel like there are things I didn't quite get it so the rating may get higher. However I very much enjoyed watching it.
9,1,"Its one of the most boring movies I have ever seen tbh :) Pretentious crap with a lot of talking and nothing SF about other than talking non-stop and lamenting all the way. Sorry, I know this might upset die hard fans but this does not deserve its place."
10,4.5,"Beautiful to watch, and the days after the movie, you start to question everything thinking back on it."
11,5,A trip to the unknown unconscious.
12,3,"Challenging and opaque, the visuals are seriously striking — lots of long, artistic shots, haunting set design that’s slightly fantastical but still feels heavy, real, and raw. Everything looks like it was composed to stay stuck in your head, like a lingering dream. The sound, though, really threw me off. Nearly the whole thing appears post-dubbed; the voices often don't match the mouths, and the worst part about it is that they don’t sound like they are in the actual physical spaces the characters are in. No acoustics, no echo, just kind of pasted on top of the scene. Super distracting and took me out of the experience. On meaning, I think it's meant to be a parable or something philosophical (like a Pilgrim’s Progress)... I had to go read the internet afterward to start piecing it together. Definitely one of those movies that demands multiple viewings, ideally after reading up on it, so you can actually detect the layers."
13,4,"Mesmerizing film — though it doesn’t quite reach the brilliance of the book it’s based on, Roadside Picnic by the Strugatsky Brothers. The novel raises a profound question: what are humans willing to do to briefly forget their own mortality? One of the Zone’s traps — shimmering heat waves rising from the ground — is fleetingly visible in the film, hinting at the unseen dangers and mysteries that fill the book. I’ve always loved the concept: extraterrestrials visiting Earth, only to leave again once they realize that humanity has nothing of value to offer them."
14,2.5,"The first half keeps the interested viewer alert. Very good cinematography with the colors eliminated inside a brown shade. We are trying to figure out what is happening with the trains coming and going, police and the army. The slow pace makes sense. Once we are inside the zone a tighter editing would have improved the experience, in my opinion. Interesting that women are not admitted into the sanctum."
15,2,"The premise itself is pretty interesting. There is a zone, a place that is guarded by officers, but no one actually goes inside it, because it is said to grant one’s deepest desires, and often people don’t come back. Now this in and of itself sounds like a movie I’d give an A+ rating to, because I feel like it’s so out of the ordinary, mundane, you can’t help but like a movie that is going to feel different and transport you, quote on quote. I mean, just hearing that premise, as I get older, premises like this feel like it's a chance to feel that escapism we feel as children when we watch movies, and though there are some moments I felt involved, most of the film I felt hadn’t done its job correctly. Stalker is a beautifully shot film; the cinematography is a chef's kiss, but the story didn’t work for me. The pacing was slow, and whatever it wanted to communicate, whatever it was trying to say, which I still fully don’t understand after my first watch, I’ve only seen it once, and maybe this is why I dont adore it like others, but if it wanted to get introspective, and explore the idea of desires, and perhaps I think even the reason one doesn’t want to see their deepest desire becauase it’ll destory something in them or something that they want to I guess at least consciously keep alive because it’ll be threanted after they are consciously aware. This didn’t do that on an emotional level, factually, it did, by the sense of literally saying it and seeing the characters explore these ideas, but there was no room, despite the lengthy run time, for a connection between me and the characters, or the story, it doesn't feel very interesting, and feels more often unengaging. Maybe Stalker is an exception, and the next Tarkovsky movie I’ll see something I connect with more, but this time around, it didn’t click right."
16,5,"A very good film. It's simple; don't expect it to be exceptional; rather, it's rough... you have to break it down piece by piece, and that's where it leads you to the wonder, the interpretation you get from everything. I recommend watching it several times!"
17,5,Success in 2 hours and 43 minutes!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! In Russian and English versions with English subtitles!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
18,4,"Such a cool idea. It reminds me of Annihilation, which I really enjoyed and was obviously heavily inspired by Stalker. The direction and imagery, especially the muted colors and foggy landscape, really lend themselves well to this feeling of mystery and danger, like we shouldn’t be here, but we don’t quite know why. This mood is prevalent throughout, interrupted only by characters sharing abstract philosophical debates about, well, pretty much anything. The ideas on faith, humanity, and exploring one’s innermost desires are fairly clear, but there are plenty of looser ideas sprinkled throughout the film which are ripe for interpretation. It starts to drag a bit near the end, making me question whether the runtime might have been a touch excessive, but it does maintain the mood throughout its several endings. You have to be in the right mindset for Stalker, and it’s probably not what you’re expecting, but it’s incredibly unique and will leave you with plenty to think about."
19,4.5,"A gorgeous, poignant, and atmospheric exploration of the human experience and the necessity of pain, Stalker is a dazzling masterwork that remains distinguished on each and every artistic and technical level--from cinematography to writing to performances to direction--ensuring that it continues to hold its place as one of Andrei Tarkovsky's greatest films and one of the most arresting ever made."
20,2,"The story was way too slow and boring, and I wasn't able to finish it in one sitting because it put me to sleep. However, it has striking visuals that seem far ahead of its time. It is a beautifully shot film, but it definitely could've been shortened. The S.T.A.L.K.E.R video games are far superior to this."
21,5,"Film Stalker adalah sebuah film thriller psikologis yang unik dan menarik. Meskipun alur cerita agak lambat, film ini berhasil menggambarkan kehidupan manusia dengan cara yang sangat unik dan menakjubkan. Jika Anda adalah penggemar film thriller psikologis, maka film ini mungkin layak untuk ditonton."
22,0.5,"One of the worst movies I’ve ever seen. I saw all these rave reviews and thought I’d be watching a great movie. Over 2.5 hours of absolutely nothing happening. Is it possible there isn’t some deep meaning hidden in this poor excuse of a movie? Maybe it’s just a bad movie, nothing more and nothing less."
23,2.5,"It is obviously a well achieved film, with great ambience and acting. However, if the audience watches this movie expecting something like modern sci-fi/horror flicks (like me) they will be greatly disappointed. I suppose I am not the type of person who enjoys Tarkovsky movies, because this exact same thing happened to me with Solaris. I understand the philosophical and psychological points the movie tries to make, but I believe there is no need for 3 hours to achieve that effect. The ending, while interesting, did not make up for all the time that I felt I wasted to get to that point."
24,5,"Much could be said, but it's best to leave them unsaid and encourage you to watch. 'Stalker' is a film that will either bore you to death or change your life."
25,3.5,"Stalker is a 1979 Soviet science fiction film directed by Andrei Tarkovsky with a screenplay written by Arkady and Boris Strugatsky, loosely based on their 1972 novel Roadside Picnic. The film tells the story of an expedition led by a figure known as the ""Stalker"" (Alexander Kaidanovsky), who guides his two clients, a melancholic writer (Anatoly Solonitsyn) and a professor (Nikolai Grinko), through a hazardous wasteland to a mysterious restricted site known simply as the ""Zone,"" where there supposedly exists a room which grants a person's innermost desires. The film combines elements of science fiction and fantasy with dramatic philosophical and psychological themes. The film was initially filmed over a year on film stock that was later discovered to be unusable and had to be almost entirely reshot with new cinematographer Alexander Knyazhinsky. Stalker was released by Goskino in May, 1979. Upon release, the film garnered praise in the Soviet and Warsaw Pact press, but only mixed reviews in the West, but in subsequent years it has been recognized as one of the greatest films of all time, with the British Film Institute ranking it #29 on its 2012 list of the ""100 Greatest Films of All Time."" Here are some positive reviews of the 1979 film Stalker: Visually stunning Some say the film's photographic colors and landscapes are mesmerizing. Others praise the film's striking sepia images and sense of tactility. Complex and psychological Some say the film is a complex, psychological science fiction film that's similar to The Andromeda Strain, Solaris and 2001: A Space Odyssey. Powerful message Some say the film has a powerful message about people losing their faith and becoming cynical. Experimental score Some say the film's experimental score by Eduard Artemyev is remarkable, combining musicalized noise with snatches of music. Unforgettable images Some say the film draws unforgettable images and philosophical musings from its sci-fi/thriller setting. Slow motion Some say the film is a powerfully slow motion picture that lets the viewer soak in the atmosphere of the moment. Masterful mix Some say the film's mix of science fiction and horror suspense elements is masterful."
26,4,"A movie that is meant to be understood however you choose to understand it. I saw in the three men theist, atheist, and agnostic. The Zone, religious ground meant to be respected. The Meteorite, the messiah come and/or the presence of divinity in the physical. The heavily guarded outposts are society attempting to control values and conditions that supersede the mere physical. Fantastically shot, intimately acted, and a film that is ageless, I will rewatch this one day to see it with fresh eyes. An experience meant to be felt more than watched and a journey that feels like you are right their trodding along with the trio."
27,4.5,"One of the flagship works of Soviet cinema. The plot about men whose mission seems to be heading for failure has something that captures our curiosity as viewers, and leaves us with many questions at the end, as a way of reflection."
28,0.5,"Worst movie ever! Very far from original story by Strugacki bros. Tarkovsky maybe is a genius, but definitely not here! Hi turned very interesting story into incredibly boring waste of film!"
29,5,C h e e k i B r e e k i
