review_id,user_rating,review_text
1,80,"Amid such strangeness, the central performances keep us grounded."
2,100,At the film’s centre are three irresistable performances.
3,100,"A spiky, pithy, and unconventional delight."
4,80,"Weird, dirty but accessible, The Favourite is a perfectly performed, thrillingly made period picture that morphs before your very eyes. Come for the top-drawer hi-jinx; stay for a moving look at human foibles and frailties."
5,85,"Despite its period setting, The Favourite just might be Lanthimos’s most trenchant and relevant work yet."
6,100,Lanthimos' wildly entertaining film arrives as a wickedly funny and masterfully assembled blast of fresh air.
7,80,"Rather than being concerned with historical authenticity (Sandy Powell’s costumes are gorgeously anachronistic), Lanthimos gestures towards an emotional reality that posits the lover and the loved as soldiers, capable of being a casualty in what each party believes is a greater cause. What a blazing and burning feat of melodrama."
8,88,It’s a period piece with a wink. It’s also funny as hell and a true big-screen treat.
9,75,"It’s not history, stunning palace locations and lush costumes aside. The Favourite is just fun, “something completely different,” though it does tend to drag as it takes us where we are sure it must go."
10,100,"The movie bridges the traditional Restoration comedy to the political satires of Armando Iannnucci  (Veep, The Death of Stalin). Comedy also entwines with tragedy here, and bold touches of absurdism and iconoclastic revisionism."
11,75,"As for the actors, Weisz gets to showcase her skill for subterfuge, while Stone reveals new levels of manipulation and deceit. But it’s the lesser-known Colman, as Queen Anne, who ultimately wrests control of the film."
12,88,"The real fun here is in the three central performances, each of which threatens to steal the film (giving “The Favourite,” appropriately, its own balance-of-power issues)."
13,90,"Each of the spectacular ascensions and drops in power throughout the 18th century-set The Favourite is filled with spectacle, betrayal and plenty of humor."
14,88,Much of The Favourite is caustically clever but it’s Colman who elevates it to something magnificent.
15,75,The result may peter out on the way to an anticlimactic conclusion but it’s fun while it lasts and at least one of the three peerless female leads should get some kind of Oscar recognition. (My bet is on Colman.)
16,75,"Yet for a number of reasons, The Favourite is the first Yorgos Lanthimos film that puts the director’s bitter instincts to good use. It’s not only his most tolerable film, it’s his most insightful, too. It even approaches, well, fun."
17,58,"The actresses are so expert, especially Colman, with her grievous, hardbitten woe, that you may not care, but if one is to mock this sort of historical extravaganza, I much prefer the nutbrain Monty Python approach to all this deep-dish folderol."
18,88,A deliciously diabolical comedy of ill manners and outré palace intrigue.
19,100,"Scintillating black comedy of manners from Yorgos Lanthimos, it latches its fangs in deep."
20,100,"It’s a bit crazy, wild yet precise, a mix of comedy and drama that feints in the direction of anachronism, even as it provides a grand showcase for Rachel Weisz, Emma Stone and Olivia Colman, who are extraordinary."
21,88,The movie itself is great fun before it curdles intentionally into nastiness and drift.
22,100,"The result is a splendid black comedy that marks a stylistic leap for its director. Second only this year to the upcoming “Roma,” it’s a reminder of how the movies can imagine a highly specific yet deeply idiosyncratic vision of the past."
