id,rating,review_text
1,3.5,"Todd Field’s Tár is a chilling, meticulously crafted character study that refuses to offer easy answers, anchored by a performance from Cate Blanchett that is nothing short of revelatory. While many films tackle the complexities of power and accountability, this is an interesting twist on the subject matter, shifting the perspective to a high-art world rarely seen through such a clinical lens. By exploring the slow unraveling of a genius trapped in her own ego, it becomes an important story to tell in an era obsessed with the intersection of public legacy and private morality."
2,0.5,Not worth watching. Better watching the pianist
3,5,"One of the best artistical films I've ever seen. Excellent acting, visualizers, script, LGBTQ+ representation, metaphors, everything!! Absolutely one of my favourite films of all time!"
4,3.5,Only Cate Blanchette can bring to the screens a powerful power dynamic character who is a psychopath. She does an excellent job at showcasing the success and eventual turmoil of her character.
5,4.5,Cate Blanchett divine once again!
6,0.5,"Top conductor spews philosophical bullshit, tinkers on the piano with simple melodies, and occasionally goes to conduct the orchestra. The film tells nothing about the real work of a conductor. Haneke already made The Piano Teacher with Huppert in the lead. This film is completely pointless"
7,1.5,Egotistical lesbian conductor faces breakdown of her professional and personal life - very slowly. It takes 2 hours before any real momentum developes. There is much in the dialogue that will not appeal to anyone not engrossed in classical music. Cate Blanchette portrays a very emotionless character who is not particularly engaging. Her episodes of 'conducting' are rather over the top and some of the supporting cast are rather stilted. Overrated by the critics
8,4,"Cate Blanchett gives a magnificent performance in Todd Field's brilliantly directed Tar, a complex, emotionally powerful and artistic psychological drama that leaves a lasting impression, in spite of being a tad too long and having some elements within its plot that didn't add too much."
9,4,"It's hard to imagine anyone other than Cate Blanchett in the central role of writer-director Todd Field's film. Her portrayal of the decline and fall of a charismatic, mercurial, and egotistical conductor is magnetic and incisive. But whilst that performance is rightly praised, Field's decision to open with what are usually the closing credits foregrounds one of the film's central concerns - that a creative endeavour does not belong to one person, but to all involved. The film shows this with the way we see Blanchett's titular character to have lost all connection with and genuine love for the music which she is conducting, concerned more with the cult of personality she has built around herself. When she suffers a 'Me Too' style fall from grace, her route back is humbling - or maybe even humiliating. It could be a tiresome or over-worthy film, but the depth of the performance and the integrity of the film to its themes make it compelling and thought-provoking."
10,5,I first saw it was 2hr30min and thought that's too long and was I wrong! I am still reeling from the way it grabs you and does not let go! Do not miss it.
11,4,"I liked this movie a lot. I respected Lydia Tar for being hard working, innovative, and bright. I had a little bit of difficulty accepting the fact that someone so bright and talented could also be so manipulative. I was also disheartened as to her poor behavior when confronted with her abuses, but perhaps if she behaved better she wouldn't have been in this trouble to begin with. I loved the ending. I googled the meaning and it is intentionally ambiguous. I interpreted this as a new beginning and fresh start for her, away from the superficial stresses and prestige in her previous glamorous yet false reality. I am hopeful she has learned from her mistakes and that this is a bright new beginning."
