id,user_rating,review_text
1,9/10,"...The Third Man is a banquet that offers so much of everything that you will never run out of things to enjoy within it, even as you may have already had too much of some other things it offers."
2,4/4,"One of those rare birds that improves with subsequent viewings, which is saying a lot since an initial viewing immediately pegs it as a cinematic masterpiece."
3,A+,"In a film born out of rebuilding the future, Green, Reed, and the entire cast produce the fatalism of idealism of what a just world should have been, but that this life is, as always, a zero-sum game."
4,5/5,"Seamless in its entertainment factor and compelling long after the end credits roll, The Third Man is a cornerstone of British cinema and will be considered as such for generations to come."
5,5/5,"The director, Carol Reed, weaves together various cinematic techniques to create an almost entirely unique experience, one that at times, almost feels like a showreel for what can be accomplished in the medium of film."
6,,"These means to fluidity, surprise, and persuasion, combined with the unreal reality of war-stripped Vienna and the incidental locales... give the whole film a percussive fluency, like a plausibly scripted nightmare."
7,,The preeminent film noir of all time.
8,5/5,The story never hits a lull nor does it ever overplay it’s hand. It’s intelligent and well constructed and I was consumed by both the narrative and the environment in took place in.
9,,"Carol Reed is a master of the art of building melodramatic suspense, equally adept at employing sight and sound to achieve his purpose."
10,,"It’s all neatly sewn together and recalls the early Hitchcock spy chasers, The Lady Vanishes and the 39 Steps. The playing is fitted nicely to the director’s and writer’s specifications and there are some appealing portraits limned by Austrian actors."
11,FIVE STARS,has one of the greatest chase sequences ever filmed  and it doesnt involve cars.
12,4/4,"Reed remains the picture's greatest asset, even if he is not the first name that comes to mind when remembering The Third Man."
13,5/5,Welles' Harry Lime looms over the narrative just as the shadow of World War II looms over the film's post-war Vienna.
14,5/5,"It's often described as the best British-produced film ever made, and that's ... an understatement, as it's an easy addition to any ... list of the top 10 movies of all time."
15,5/5,Iconic.
16,,"It isn't a particularly challenging film but it is entertaining, it moves at a quick pace, and the mystery at the heart of it is fun to try and piece together."
17,10/10,"As a mystery, it is average - but as a darkly artistic approach to intrigue, it's masterful."
18,,"The writing, the acting, the music, and the locations are so distinct and recognizable that they have become lodged in our consciousness."
19,5/5,"Seventy years on such sombreness seems timely, as does Harry Lime, Welles's deliciously elusive antihero."
20,,"The astounding acting bit, it may turn out, is that contributed by Orson Welles. As the object of this chilling search, Welles for once is pulled back to the size of a gifted actor, a trick for which he and a lot of old Welles' admirers can thank Reed."
21,,The music is as distinctive as the James Bond or Star Wars theme...
22,,"This film is lively, always moving forward, constantly bubbling with mystery and suspicion and secrets, but the characters are always driving the film."
23,,We're seduced out of caring for Greene's weary plot. Welles saves the film and destroys it.
24,4/4,"Krasker's camera reveals a dank, matte, defeated city - so dully vivid as to be a character unto itself - except that this Vienna becomes something altogether different seen at night or underground."
25,,"By the very nature of its settings and story, there are occasional reminiscences of Lang and Hitchcock, but there is nothing borrowed or imitated. Stylistically, The Third Man is Reed's most impressive film."
26,A+,"Welles was a still-ridiculously young 34 when he played Harry, but he was probably born sounding 56..."
27,,"The bombed buildings, piles of rubble and their evocative shadows form a haunting backdrop to the outdoor scenes, particularly at night. ... Greene's talent for dialogue and suspense shine. [It] has more twists and turns than a rollercoaster."
28,A,"It's an exciting experience, dazzling and entertaining and thought-provoking."
29,4/4,"Reed and screenwriter Graham Greene let the story unfold slowly and deliberately, like the cigarette smoke that floats around the characters, and keep us guessing at every step."
30,4/4,"Like many, I have loved this thriller of conscience and betrayal most of my moviegoing life."
31,A,"What really makes the film sing, though, isn't the jaunty and iconic zither score by Anton Karas. It's the film's groundbreaking visual aesthetic, which combines noir tropes with expressionism to create a visual wonderland of living shadows."
32,5/5,"This is a film which does away with such cretinous inanity as offering up goodies and baddies, instead presenting its cast of characters as doing things which they believe to be good, but are not seen as such through the eyes of observers."
33,,"""The Third Man"" is important not just because of its technique but because of its theme ..."
34,5/5,Few films more effectively capture the crumbling infrastructure and opportunistic lawlessness of postwar Europe. And none better translate the snaking treachery of Graham Greene's stories and his worlds of cynical expats and casual betrayal.
35,5/5,"Set in postwar occupied Vienna, the plot is a corker, littered with memorable moments and played to perfection by an unforgettable cast that's led with distinction by Orson Welles and Joseph Cotten."
36,5/5,Best read not as an homage to Hitchcock - or to special super secret guest star Orson Welles - than as a study of what Carol Reed biographer Robert F. Moss describes as 'the ineffectuality of goodness.'
37,5/5,"A lot funnier than you remember it, Carol Reed's immortal 1949 film noir seems to exist in the space between two worlds: an earlier time when thrillers were mostly serious affairs, and a future one, when such supremely witty entertainments felt passé."
38,,The Third Man is a movie of sobering pleasures.
39,,"The movie's verve comes from the abstract use of a jangling zither and from squirting Orson Welles into the plot piece-meal with a tricky, facetious eyedropper."
40,,"The truth is often what one least expects it to be, and the ability to cope with the seemingly unbelievable is a dividing line between Reed's characters."
41,5/5,As powerful and original now as it was in 1949.
42,,One of British cinema's most enduring and atmospheric thrillers. A genuine and endlessly rewatchable classic.
43,4/4,Directors like Reed and Wilder created an environment of spatial and moral confusion in which their pulpy narratives could take on the ethical weight of a Biblical proverb.
44,4/4,"Greene's story and screenplay, which he accurately described as ""a comic thriller,"" is a gift that keeps on giving, with patter that's never less than brilliant. [Criterion Blu-ray]"
45,A,"If The Third Man is a tragedy, it isn't just the tragedy of a hobbled city, scribbled with ruins and parsed into zones of occupation that can't communicate and don't cooperate."
46,,It transformed the way I looked at the world.
47,4/4,"As you watch the film, you feel as though the screen is tilted higher, glowering over you as you wince in its devastating presence, which is probably how Martins felt scurrying through the Vienna darkness."
48,,"It's a suspense-thriller-romance steeped in Hollywood's best influences and 'gimmicks,' yet it's crafted with enough looming European 'art-house' style to topple Fritz Lang into an existential funk."
49,5/5,This is a unique classic.
50,5/5,An iconic film noir that's still fresh despite being familiar.
