review_id,user_rating,review_text
1,85,"Birdman—I should probably note here that the full title is the punctuationally ridiculous Birdman or (The Unexpected Virtue of Ignorance)—is a giddy fantasia of themes and genres, and if not all of them fully cohere, then so be it. As the Birdman voice inside Riggan’s head reminds us, sometimes viewers crave pure entertainment, not just “talky, pretentious, philosophical bullshit.”"
2,90,"The picture is a stylistically fearless rush; surreal one moment, satirical the next but never for a second dull, showy or overreaching."
3,100,Birdman is a delicious and delirious pleasure.
4,40,"Birdman trades on facile, casual dichotomies of theatre versus cinema and art versus commerce. It’s a white elephant of a movie that conceals a mouse of timid wisdom, a mighty and churning machine of virtuosity that delivers a work of utterly familiar and unoriginal drama."
5,89,"Above all else, Birdman is tender, raucously funny and deeply tragic."
6,100,"A magnificent and enthralling film that fits into no easy genre bracket, Birdman or (The Unexpected Virtue Of Ignorance) – to give it its full title – is a technical tour de force, a beautifully performed and smartly scripted black comedy that will leave its audience keen to head back for more."
7,100,Watching Alejandro Gonzalez Iñárritu’s multilayered “Birdman” is like unfolding a piece of intricate origami; it keeps opening in unexpected directions.
8,90,"Shot in 30 days after a long rehearsal period, with the actors’ and the camera’s movements calibrated to the inch and the millisecond so the action flows smoothly, the picture has the jagged energy of a long guerrilla raid choreographed by Bob Fosse."
9,100,"Led by a fantastic Michael Keaton, Birdman is a deeply thoughtful and darkly hilarious meta dissection of egotism that satirizes the entertainment business with a compelling visual style that is all its own."
10,83,Keaton reminds us what a fine actor he could always be.
11,100,"Iñárritu ditches time-hopping bleakness for a linear, if loopy, satire that buzzes with brio. If Mel Brooks, John Cassavetes and Terry Zwigoff co-directed a superhero movie, this might be it."
12,100,"Birdman is everything you want movies to be: vital, challenging, intellectually alive, visually stunning, emotionally affecting. And welcome back to the big time, Mr. Keaton; you have been sorely missed."
13,100,"Everything about Birdman is a bold cinematic stretch, from its snare-jazz soundtrack to a climax regrettably stretched too far. The line between Iñárritu's genius and Riggan's madness gets crossed once too many, but no matter. Birdman has 99 virtues and ignorance isn't one."
14,100,"From the first line of its deep, rapid-fire dialog all the way through to its trippy ending -- which is guaranteed prompt discussion on the drive home -- Inarritu has crafted a film that begs to be rewatched, with the promise of each repeated viewing bringing something new."
15,88,"Birdman takes advantage of every facet of Keaton’s talent, from his knack for absurdist comedy to his seemingly effortless ability to tap into graceful profundity without making a big show of it."
16,100,"The thrilling cinematic joyride that, among other improbable feats, puts Michael Keaton, as Thomson, smack in the middle of the Oscar race for best actor."
17,100,"This is a strange and beautiful and unique film, one of the best movies of the year."
18,100,Birdman is a treat. But it's also more than that. It's a full-fledged wonder.
19,75,"Birdman proves that a movie — the grabbiest, most kinetic film ever made about putting on a play — can soar on the wings of its own technical prowess, even as the banality of its ideas threatens to drag it back down to earth."
20,100,"The bravura gestures work gorgeously in Birdman, as does the humor, which playfully balances the film’s most mystical, contemplative ideas with a steady stream of inside jokes and well-calibrated shifts in tone and dynamics."
21,100,"This is a remarkable feat, not only of cinematography, but of choreography. Just to film Michael Keaton and Edward Norton walking down a Manhattan street, everything had to be timed as in a dance — when the camera swirls ahead, when it goes behind, when it swoops back around. It’s all accomplished so smoothly that it would be worth doing merely as a stunt, except this is no stunt. This method carries the mood and soul of one of the best movies of 2014."
22,100,Lots of films claim to be different. Birdman is.
23,100,"Birdman finds Iñárritu in the mood for play, and with a mighty cast that fields every pitch he throws."
24,75,"Yes, at its best, Birdman soars, swoops and flutters with life and invention, but it parrots more than it speaks. You long for a writer as reliably, elegantly witty as Tom Stoppard, whose dramas are typically “backstage,” or if not Stoppard, at least a verbal speed-puncher like Armando Iannucci, or if not Iannucci, someone as relentlessly inventive and obsessive as Charlie Kaufman to make you feel like somebody is trying to say something, rather than a writing team filling in the intelligent-sounding words to support the boisterous performances and the virtuosic camera dance."
25,100,"The film is so soaring, sometimes literally, I hardly missed the feeling of hard ground underfoot."
26,75,"The movie is punctuated by comedy that at times verges on slapstick but there's an underlying anger in evidence - anger at the popular mindset that allows movies like ""Transformers"" to flourish while artistic endeavors fail."
27,100,Birdman is a complete blast from start to finish.
28,90,"Doing a whole movie this way isn't unprecedented, of course. Hitchcock's ""Rope"" did it without digital trickery more than half a century ago. Still, it's a great cinematic stunt, even when you think you've found the hidden edits. And it makes Birdman as exhilarating a flight of fantasy as you're likely to see anytime soon."
29,30,"Alejandro González Iñárritu is a pretentious fraud, but it’s taken some time to understand the precise nature of his fraudulence."
30,83,"For Michael Keaton, Birdman is some kind of gift from the movie gods, a license to have his cake and messily devour it too."
