id,rating,review_text
1,5,"One of the greatest films ever made. Groundbreaking in its day. Phenomenal lead performance with a great supporting cast. An odyssey of the soul, of deep reflection, but with a much warmer resolution than other films of his dealing with the same existential questions. Incredibly original in execution. Spare but paradoxically full. Cinematography is extraordinary. Bergan was one of our most gifted filmakers and this ranks with his best."
2,4,"Brilliantly meditating on the fear, ludicrousness, and beauty of the human experience, Ingmar Bergman masterfully builds on the legacy of The Seventh Seal with another atmospheric entry that suffers from queasy editing."
3,4,"Bergman’s finest film, surpassed only by “Fanny And Alexander”."
4,3.5,"Released at the beginning of what could easily be considered a golden age in the career of one of cinemas most revered figures, Wild Strawberries is one of Bergman’s most personal films, and as a result, one of his most affecting. It’s a road trip movie that follows the emotional journey of an old curmudgeon that seems at odds with everyone in his life, lamenting on past failures, heartbreaks and wasted opportunities. The film does occasionally suffer from Bergman’s heavy philosophising, where existential debates and longwinded intellectual diatribes take the place of actual conversation, but a lot is done to dissect and analyse our lead’s past and outlook on life, so that each discussion does play into some aspect of his insecurity. When he reaches the end of the line so to speak, you do get the sense that he’s learned a lot from his odyssey, but not in a cheesy or mawkish way, more that he’s accepted that he can’t change his past mistakes but he can come to terms with them, and realise that he doesn’t have to spend what time he has left being defined by them. Not a casual watch by any means, but in the extensive Bergman oeuvre, especially where the nature of the soul is concerned, its probably one of his most accessible."
5,5,"É um filme fantástico, completamente existencialista no que a de essencial para os nossos questionamentos sobre a vida e a existência. É um longa que deve ser assistido diversas vezes ao longo da vida, para ter novas percepções, viva ao cinema realista, toda a minha ode a Ingmar Bergman, por essa conspícua obra de arte, que chega a ser quase um quadro impressionista."
6,3,This movie is hard to comment on. It follows something philosophically similar to Ikiru or A Christmas Carol but without the acts of redemption. He just contemplates his life story and is then at peace by the end. I'm just not sure what the redeeming quality was.
7,4,"Definitely more bittersweet than most Bergman films. A coming of age movie, though not in a youthful sense. The movie shows from beginning to end how talking about your feelings can help everyone get a better sense of self. Many people ask how elderly people feel at the end of their lives and this movie directly addresses that. Thoughts of previous romances, regrets, and mistakes made in life. As usual, his films are very existential and religiously themed. Best to watch Bergman films alone. The ending will surely make you cry while smiling."
8,4,I watched Bergman during a university course and I was afraid to watch anything else since. Too absurd for me. But i am so glad i gave this a chance because it is a beautiful movie. The scenes flow so rhythmically and it makes you think about life.
9,3.5,"A crotchety doctor travels to Lund, Sweden, to receive an honorary degree. He is accompanied by his daughter-in-law and they encounter some hitchhikers. Along the journey, he contemplates the highs and lows of his own life. Very personal. Extremely profound. I still prefer Seventh Seal and Virgin Spring but this film is more touching. The opening dream segment is amazing. Recommended Inspired several of Woody Allen's films."
10,4,"""Wild Strawberries"" is a movie that explores growing old and alone in an honest and empathetic way. The movie's main character seems to be aware of his flaws and learning more about him is a fascinating journey. I do feel there are certain aspects of this film that haven't aged all that well, but for the most part, the themes are pretty timeless. I can see this movie being one of those that evolve as I get older considering the subject matter so it could be one worth revisiting as I inevitably get older. Overall, it tells its story in a unique way and explores the main character's psyche in an impressive style."
