id,user_rating,review_text
1,5/5,"An emotionally intense, unforgettable viewing experience, filled with “coming-of-age” fun and spiritual longings."
2,8/10,"As much as it is very well done, I don’t think it’s worth putting it up on such a high pedestal on par with the works of Hayao Miyazaki. Your Name is good, but for me, it's not worthy of breaking Spirited Away’s record good."
3,,The power of connection is at its most moving in Your Name.
4,4.5/5,"Japanese animated fantasy; humorous, romantic, captivating and utterly beautiful."
5,,"Your Name is a beautiful movie, and if you haven't yet checked it out and want a movie about love with a lot of humor and fantastical elements, I would highly recommend it."
6,4.5/5,"Impressive cinematic touches, from time-lapse sequences to stunning match shots, with the crisp and nuanced animation adding to the compelling nature of the story."
7,,"So come for the first act, stay for the dynamic camera."
8,,"To say this film involves bending time doesn't even really begin to describe it, but it all makes sense in this universe, and it's a bold and beautiful wonder to behold."
9,4/5,"Your Name is a genuine delight of a movie, an emotional adventure that crosses multiple genres. Shinaki seamlessly blends romance with science fiction to incredible effect."
10,4/5,"While Your Name's story is dubious, it doesn't disappoint. One of the standout features from London Film Festival, and one of the best animated features this year."
11,5/5,It's bold and stunning with great characters and original storytelling.
12,9/10,Two lovers transcending time and space to connect is an inspiring story no matter what country you hail from.
13,3.5/4,There's a beautiful story that shines through. The film leads with comedy but then pulsates with adventure and tension in the second half.
14,4/5,"Your Name is Makoto Shinkai's most satisfying and complete film to date thanks to its amazingly beautiful animation, a fun yet familiar sci-fi premise, a great melding of genres (sci-fi, romance and disaster movie?) and great vocal talent."
15,4/5,Your Name is a beautiful Japanese animation fantasy with an other-worldly feel.
16,4/5,"Even with its over-elaborate nature and the syrupy resolution, Your Name is really fun to watch, and takes more risks than I would have expected it to."
17,3/4,"Plot hiccups aside, it's a visually impressive experience with endearing characters and a unique story."
18,,"Your Name is [a] mixed bag of bravura style and exhausting storytelling... Despite these reservations, it's clear that Shinkai has created a singularly manic vision that dares to challenge what it means to remember."
19,,The script far exceeds expectations... [Full review in Spanish]
20,3/4,"The hand-painted animation is stunning, from comets streaking across the night sky to an afternoon walk through fall foliage that is breathtaking."
21,3.5/4,...feels something like Charlie Kaufman anime.
22,8/10,"Your Name may throw to many ideas at the wall, but it's an inventive, pristinely animated, emotionally resonant treat that reinforces Shinkai's undeniable talents."
23,3/5,"The vital second half feels ponderous and over-blown, and the eventual explanation too complex for its own good."
24,4.5/5,"The absolute very best kind of crowdpleaser, the kind that genuinely does seem to have a little something for everyone."
25,,"Your Name is one of the best film of the year, both animated and live action. [Full review in Spanish]"
26,5/5,This is about as good as it gets.
27,,"It begins as a hilarious but conventional teen comedy to transform, little by little, into something much more unpredictable and intelligent. [Full review in Spanish]"
28,,An overwhelming visual symphony of sustained beauty. [Full review in Spanish]
29,3/5,A brilliant science fiction story for devotees of traditional anime. [Full review in Spanish]
30,,"Your Name is a sad movie. It has a happy ending and there are funny moments, but it's sad. It's heartbreaking. It's absolutely devastating."
31,,"I left the theater feeling as if I had just woken from a beautiful, indescribable dream, desperately fighting to keep it from fading from memory."
32,,"Beautifully animated (we're talking Studio Ghibli standards here), Your Name captures that sensation of waking up from a dream you wish lasted longer, or misplacing a name that's still warm on your tongue, but has just departed."
33,7/10,Your Name. is an engaging if saccharine universal tale of self-discovery. It's also a visual masterwork.
34,4.5/5,"It's the rare work of art that can base an extraordinarily powerful moment of emotional catharsis on compulsive boob-squeezing, but that's the miracle of this movie."
35,,Your Name. is a treasure that -- even if the first half hour felt confusing to my own Western-educated mind -- is well worth the investment of a near-two-hour view.
36,,My suggestion is to refuse to let the story get in the way of enjoying the story. Relish the overreach of a mighty talented writer-director-etc.
37,3.5/5,"What separates Your Name from other body swapping movies is its sensitive handling of gender roles, identity, fate, and other lingering themes teens grapple with on a regular basis."
38,,You have to see this movie on the big screen if at all possible. There's a 2001 Space Gate-esque sequence that had me in full hand-to-my-heart mode.
39,,"By the time Your Name reaches its moving finale, the Next Big Thing tag doesn't seem quite enough for Shinkai. He's arrived already."
40,4/5,An honest film in its intentions that will enchant those who aren't ashamed of their incombustible teenage heart. [Full review in Spanish]
41,5/5,"By the time Your Name reaches its final half-hour or so, the film has moved so far beyond its initial premise that if you think back to the beginning, you'll be astonished by how far it's come."
42,4/5,Stunning but mature animated body-swapping love story.
43,4.5/5,"A male and a female teenager are ... switching bodies Freaky Friday-style. Far from a gimmick, this plot point is used to explore issues of gender and culture in a unique way."
44,,"Good things comes to those who wait, and by the time Your Name's meet-cute moment happens you'll already be in love with the film."
45,5/5,"Blissfully psychedelic at times with magnetic chemistry between two characters you become completely invested in, Your Name is an anime film unlike any other and is so fantastic that you have to witness all of its beauty and elegance for yourself."
46,4/4,Stunning. A masterpiece.
47,4.5/5,"A film that will make you laugh, cry and will make your day happier. [Full review in Spanish]"
48,3/4,"Your Name is a remarkably bland title for a pretty interesting movie, but Shinkai's effort - based on his own original novel - is a curious blend of two complex genres that elevates both."
49,9/10,It's both gorgeous enough and emotionally engaging enough to be worth seeking out.
50,2/5,"Throughout, there is the nagging sense that the whole thing will unravel if any one thread gets tugged too hard, but when both the heart and the sky are on fire, why lean in and go squinting at flaws?"
