id,user_rating,review_title,review_text,author,date
1,9,"if a movie changes your life or the way you see it, it is said that it did a great job.","9/10if a movie changes your life or the way you see it, it is said that it did a great job.Spoiler",spiderdib,N/A
2,8,"Good movie, commonly misinterpreted","I've seen a ton of people misrepresent this movie as the one about the pervert who creeps on his daughters friend. But that evaluation completely misses the amount of substance there is that lies below the surface.This movie is about a bunch of people who live unhappy lives and have no real means to change that. It is about their desperate attempts to overcome their unhappiness. The acting in this movie is fantastic, and they all do such a great job bringing these characters to life.The soundtrack is well done, the direction is wonderful, and script has a unique sense of humor that almost seems charming. I would recommend this movie to anyone who hasn't seen it.",mattatthemovies,N/A
3,7,"Delivers a beautiful, lasting message","7/10Delivers a beautiful, lasting messageSpoiler",Jared_Andrews,N/A
4,10,Entertaining and Thought-Provoking.,10/10Entertaining and Thought-Provoking.Spoiler,the-evil-cult,N/A
5,10,An Oscar well deserved.,"This film is one of a kind.  After seeing this film last week, I was left with a hole in the pit of my stomach.  It left many questions in my mind, and most of them cannot be answered. In my view, a film that makes me think after I watch it is second-to-none, and this film certainly delivers in that aspect.I was amazed with the vivid imagery in this movie, as well as with the symbolism.  However, what makes this film the best of 1999 is the acting. Kevin Spacey shines as Lester Burnham, and Annette Bening (Carolyn Burnham) isn't far behind.  Supporting cast members such as Wes Bentley (Ricky Fitts), Thora Birch (Jane Burnham), Mena Suvari (Angela Hayes), and Chris Cooper (Col. Frank Fitts) only add to the drama of this film.  I think the most special aspect of this film is how all of the characters intertwine in a way that is believable, yet fantastic at the same time.  I congratulate Sam Mendes for his direction of this film, as well as Alan Ball for writing it.  I don't think it could have been any better.Rated R in the U.S. for strong sexuality, language, drug content, and violence, the film obviously deserves its rating.  However, none of the causes for the R rating are overbearing, and all of them add to the plot-line of this film.  While I don't think that this is a film for children, I would suggest that adults should view it with an open mind.  I believe that the traits which many of the characters in this film have are found in many people around the world. Perhaps that is why this film hits close to home for so many viewers.While billed by some as a ""comedy-drama"", I don't see anything about this film as funny.  Sure, there are some comedic moments, but by the end, those moments were all but forgotten when faced with the grim reality of the conclusion of the events portrayed in this film.If you want to watch a light-hearted film with some elements of comedy and some elements of drama, don't see American Beauty.  But if you enjoy films that make you think, and are entertained by an excellent cast, excellent directing, and an excellent screenplay, this film should be at the top of your list.My Rating:  10/10",RueMorgue,N/A
6,10,"A deep, wonderful, penetrating film; extraordinary irony in a psychological drama about the American life.","I have come to see the movie with a certain prejudice.  Everyone saying that it was so wonderful, so touching, so excited -- I usually tend to go with movies that nobody likes.  Nevertheless, this one was a certain exception.It is a wonderful psychological drama, a satire about the American community and about the American life; dark, painful irony and cynicism in the descriptions of life and characters; deep sarcasm on types of people in the community, habits of behaviour such as ""...if you want to succeed, you always have to seem successful..."" or ""never stop smiling"", parasites of the community, and, most importantly, the treatment of people who are ""different"", who are ""freaky"" to some extent; and eventually, there is no character in the film that is not odd in its way, although we have to wait for the very ending of the film, to discover this.With very deep and accurate exaggeration, (most of) the characters in the movie demonstrate the worst, the darkest sides of their personality, while still remaining very human, very touching and very involving the observer. Everyone can find a certain similarity with characters and persons who he met in his life, in the characters described in the film.  The tragi-comical events, the little pieces of funny, disturbing irony dripping from almost every episode, lead the observer to exploration of the American Beauty -- the beauty in life, and the way that we fail to find it, for all our life; the way we hide our feelings and emotions, even behind sullen walls of our sepulchre.The acting is truly brilliant, the episodes are built logically, coherently, the dialogues are deep, thrilling, intriguing; every sentence and every word is deeply constructed, containing profound irony and intelligent elements of humors.  The plot is very intelligently built, constructing a true indication of the sad situation of the American society, and an excellent ground for the actors.An amazing movie, strongly recommended.  10/10",SD-4,N/A
7,10,Beautiful...so beautiful,10/10Beautiful...so beautifulSpoiler,Antithesys,N/A
8,10,A little masterpiece...,"""American Beauty"" is tour de force cinema. Sam Mendes' brilliant debut feature depicts a web of characters who yearn for their own 'American Dream' - yet, in the end, only one character truly attains it.Having seen ""Happiness"" only recently, I could not help but draw comparisons: both films centre around a microcosm of society in which the people, in their own unique way, all strive to be successful or simply 'happy'. But here the similarities end: the characters in ""Happiness"" undergo a self-realisation process through which they become increasingly aware of their meaningless existence, and go on to wallow in their own depravity. ""Happiness"" shows no signs of redemption; whereas in ""American Beauty"" the audience is offered a sense of hope, of salvation, though the characters must endure a similar fate, or more accurately, they must endure the way of life in which they are trapped.The pivotal character upon which this theme centres, is the father Lester, played impeccably by Kevin Spacey. He is presented to us as a bit of a loser who plays the subjugated figure in the home and at work. He appears resigned to an unhappy life in which he is treated badly by his wife and daughter and his boss at work. Seemingly beyond redemption, Lester transforms from being a loser.Mendes portrays this transformation admirably well: he shows Lester on his 'path to enlightenment' pushed up against a grim background of suburbanite existence. These early scenes are well balanced, forming a steady rhythm of TV commercial-like vignettes which prove very comical, if at times unsettling. As Lester reflects in the film: ""My life is like a commercial"". And how this rings true: like in ""Happiness"", all the characters hide underneath this veneer of normality and respectability, yet they are all revealed to be nothing but the opposite: depressed, depraved and desperate.Lester's wife, played by Annette Benning, is the most success-driven character in the story which renders her the most hopeless in the film's tone of moral conviction. ""In order to be successful in life one must project the appearance of success"" is the maxim she adopts from the 'king' of real estate, Buddy King. It is a phrase which resonates throughout the film: for Benning's pawn, life is all about keeping-up appearances. This is where Lester differs from her: his emancipation is enabled by him discarding the constraints of 'normal life' and following what his heart desires.Lester is the catalyst in this narrative in which the ancillary characters either follow suit (as does his daughter and Ricky) or pay the price (as does his wife and the Colonel). The irony inherent in this film, and it grows with resonance as the film draws to a conclusion, is that the only character who truly becomes free must sacrifice everything in order to achieve it. Yet it is through his sacrifice that he is able to afford the surviving characters a glimpse of hope in life.This film left me gasping for air: its hyper-realism conveys, at the same time, a portrait of the suburban comedy, a jolting-shock of realisation, and a cathartic sense of hope. Mendes depicts a certain people who, to varying degrees, all strive for a certain 'American Dream', yet so few actually attain it. Though whilst one may have difficulty with tagging this film with the 'feel good' label, the beauty of ""American Beauty"" is that it sits half-way between a desperate cry for help and a reassuring sense of happiness and fulfilment and that is cinema at its best.",ryan_lynch,N/A
9,10,a very well done film that continues to amaze me...,"When I first saw this movie in theaters, I found it to be very funny. When I rented it at home, I found it to be very sad and complex. Looking at it now, I realize that it is surely one of the most extraordinary films ever to come out of Hollywood. To some it may look trite or cliched, or maybe too un-ordinary to be worthy of its praise, but the overall impact of this film is extremely powerful. After you've seen it, you know you've seen something.A few notable elements stand out. The direction is superb; this is visually a superior film, for the director understands the subtle changes in tone. The writing is equally compelling; the story effortlessly interweaves multiple stories to create one amazing movie. The haunting music is also notable. Lastly is the acting. Kevin Spacey has done excellent films before, and he can add this one to the list. He may be a little to witty to suggest the overshadowed character he portrays, but he simply disappears into the role. Annette Bening is also fine; a less strong role, but she is magnificent none the less. As the teenagers, Thora Birch is able to mesmerize us with one intense look; her ""typical teenager"" role is fleshed out completely. I enjoyed Mena Suvari's character equally. It seemed that she did not receive as much acclaim, but her performance evokes both innocence and experience, and her scenes toward the end give her a depth unlike any other character. And Wes Bentley, as the video-taping boy next door, is easily the most original character. At first he seems a little tense, but, like Spacey, he sinks into the role. His ""purpose"" in the film, unlike anyone else's, is a mystery, thus making him the most enigmatic person.Most films are able to make a lasting impression on its audience, but never has a movie been known to ""move"" its viewers as much as this movie. It truly says something about life, no matter how predictable or tacky it appears, this film disturbingly shows us how to appreciate our individual lives, so therefore, when they are over, we each have something to remember.",reesew18,N/A
10,N/A,Could be the best movie of the year.,Could be the best movie of the year.Spoiler,Rusty-61,N/A
