id,user_rating,review_title,review_text,author,date
1,9,"""Maybe this is what happens when you grow up, you feel less joy""","Inside Out 2 talks about ""growing up"" in an emotional way and depicts how growing up is challenging inside our thoughts. The film introduces the emotions we had from the previous movie: Joy, Anger, Sadness, Fear and Disgust. We are also introduced to new emotions: embarrassment, Ennui (boredom), Envy and Anxiety.Riley is about to go to high school but the story focuses on her preparation to officially join the FogHorn Hockey team. As the story progresses, Riley finds herself challenged with her hopes to join the team. Her friendship was wounded, her emotions went all over the place and the pressure got into her head. But eventually, everything goes into their proper places.This sequel film may be animated and made for kids but as an adult, it just hits differently. I can say that this film was partially made for adults and for anyone who is in a bad mental situation. It reminds its viewers how growing older can be tough, how overthinking affects everything else, how decisions that are made today may affect what's next. But it is also a strong reminder that problems, fear, worries and anxieties will come. They are all inevitable but everything will pass. Take a deep breath, stay calm and do not overstress everything. Having a calm mind also affects the way we think. We may feel pressure at any given time but we have to sit back and relax.Do not overstress things at the present. Live at the moment. The future is there but we live at the present, right here, right now. Enjoy life. Remember that you are not alone on whatever you are facing. Keep your friends and family close. And finally, God is always with us.Inside Out 2 is a great film. Every audience will have a different way of enjoying this but just remember, you are who you are. Embrace yourself.#InsideOut2 #moviereview.",arvinjanasis,N/A
2,9,"This movie resonates not just with children, but the more mature audience as well. That's what makes animated movies great","I can't believe I'm saying this, but this is one of the best Pixar movies to date. I did not expect to like this movie very much. Disney and Pixar have been vastly disappointing and even controversial recently, but Inside Out 2 rivals Pixar's best movies like Up, Monsters inc., Ratatouille, The Incredibles and Toy Story in quality.I found the story very moving. The best animated movies ever made appeal not just to children, but resonate with the more mature audience as well. And that's what this movie does.The theme was very poignant. I loved the introduction of the new characters and especially how they incorporated anxiety into the transformation of puberty. Anxiety is not fun, but many people struggle with it.The ending was great too. I love that they didn't wrap it up in a cliche way.Great job Disney and Pixar!",poseyfan,N/A
3,9,"""My job is to protect her from the scary stuff she can't see.""","When I first heard that Pixar was making a sequel film, I was very excited as I simply adored the last one. I saw the trailer and thought that it looked good for a current movie. I went to see it with high expectations, and I came out sobbing from how personal it felt to me.For some context about me, I had terrible anxiety for years until I finally healed from it and watching the film from that perspective made it very personal. I found myself teary at a few of the lines that Anxiety said just because I had said them to myself in the past. The film portrayed accurate depictions of teenage life, from struggling to fit in, those feelings associated with friends going away, thinking less of yourself etc... One scene I found especially hard to cope with and that got me SOBBING just because it gave me time to reflect on how I used to be.Personal feelings aside, this film was really amazing. The animation was incredible, and the plot was surprisingly good. I loved the new emotions and its just as good as the first one (almost better)",ediebeanieb,N/A
4,9,"Puberty, Pucks, and Personality Panic","9/10Puberty, Pucks, and Personality PanicSpoiler",matthutsonmovie,N/A
5,10,Best Pixar sequel since Toy Story 3,"Just finally saw Inside Out 2.It is ABSOLUTELY FANTASTIC and INSTANT CLASSIC Pixar masterpiece ever. A triumphant full circle moment for Pixar. An emotional rollercoaster from beginning til the end. Animation is pure perfection. Pacing is brilliant. Musical score is magnificent. Visuals are stunning & dazzling. Story was very beautifully heartfelt. The voice cast performance was incredibly stellar with old and new familiar faces especially Maya Hawke as Anxiety and Ayo Edebiri as Envy being massive standouts. You'll laugh, cry, and fall in love with this movie. It will blow your mind. Really like it's one of the BEST Pixar sequels in ages since Toy Story 3. A special, once in a lifetime cinematic experience full of heart. A MUST-WATCH for everyone!This will be a massive box office juggernaut & deservedly so.Totally the best animated movie of the year you'll ever see. Period.Kudos to Kelsey Mann & the cast & crew of Inside Out 2!",miggykabigting-91620,N/A
6,6,Missing the spark,"I am quite surprised at the overall positive reactions for this film compared to the first one as I don't think they are comparable at all.Unlike the first film, Inside Out 2 felt rushed and lacked the time to properly develop each character. The film lacked direction at times and felt quite disconnected. The first film had an amazing sense of journey and adventure and I think that's where this one missed the mark. The journey undertaken by the original characters simply didn't have the same sense of purpose the storyline felt forced to try and rush to the end where where we all learn lesson of the complexity of emotions are what life is about.All in all not a bad film, the animation was still great, same with the voice acting, it just lacked the extra magic of the first and didn't quite evoke the same feelings.6/10.",lsteff-58386,N/A
7,8,Good job Pixar,"A sequel with beautiful execution and sufficient maturity to make this film a sequel that is no less than the first film. Even though the conflict shown is not as complex as the first film, but it still made my tears almost slide through my eyes. Such as the scene of Bing Bong saying the dialogue ""Take her to the moon for me"" in the first film, I did not find any emotions that were successfully expressed by the dialogue or scenes. But okay, that's okay, I still like it. The point is that you will find a feeling of nostalgia, a strong emotional feeling (although not too much), this film will be liked by every millennial child and children who want to go back to watch the second film to reminisce, I mean children who have grown up. The overall rating for this film is 8/10, it is definitely worth watching.",Mycinephile,N/A
8,6,Uninspired,6/10UninspiredSpoiler,hristinab-650-685348,N/A
9,10,The fact this movie was so relatable is what makes it great,10/10The fact this movie was so relatable is what makes it greatSpoiler,talfrenkel-54888,N/A
10,7,First film better,"All in all, while ""Inside Out 2"" has a good concept and loveable characters, it is not perfect. Promoted as an entertaining event that lasts one and a half hours, it has a problem with a story. It introduces Joy, Sadness, Anger, Disgust, and Fear again who travel through teenage Riley's mind, but it is not as profound as the first movie. While pacing appears to be slow with large chunks where not much story occurs and the audience is not able to form a bond with the character. Although the first film was emotional and deeply meaningful, ""Inside Out 2"" lacks a single, overarching message compared to its predecessor. The humor and warmth are insufficient to make up for the shoddy plot, even though some of the animation and voice acting are excellent. Younger audiences will find it entertaining, but it falls short of the first film's potential, which will disappoint some viewers who were hoping for yet another heartwarming tale.",feynman-21369,N/A
