id,user_rating,review_text
1,,"A few of the tales are a bit of a stretch, but the scope of the Pan's Labyrinth universe comes out feeling much larger than ever before."
2,,Tremendously profound... [Full review in Spanish]
3,A,"Those who seek fizzier, stomach-calming seltzer at the movies are advised to look elsewhere. Others, like me, will surrender gratefully to the black and bloody enchantment."
4,7/10,The script is undoubtedly better than the movie. Majestic production design in what remains as one of the fantasy classics. Del Toro's eternal beginnings. [Full review in Spanish]
5,4/5,"Del Toro's finest work to date, beautifully blends magical worlds and fairy tales with grim, real-world evilness. The results are profound and moving. [Full review in Spanish]"
6,4/4,Guillermo Del Toro returns fairy tales back to their deathly origins.
7,,Pan's Labyrinth proved that del Toro's most intimate and imaginative stories are also his most resonant and beautiful...
8,,Insert list of superlatives here - I just love this film so so so so much.
9,10/10,"It's rare to see a production of such breathtaking magnitude, with an absolutely singular vision and spellbinding fantasy components."
10,4.5/5,"To date Guillermo Del Toro's most provocative accomplishment, Pan's Labyrinth is a beautifully realized but brutal fairy tale."
11,9.5/10,PAN'S LABYRINTH harks back to a time when fairytales were dark and filled with life lessons prior to the tales being taken up by Disney's more family-friendly hands.
12,,"His (Toro's) incredible visual style, uncanny CGI world, and gift for a particular style of storytelling knock this out of the park."
13,A,"I'm not sure if ""Labyrinth"" is a film that will appeal to everyone, but if you are looking for a movie that will challenge as well as amaze, then this is the one to see."
14,5/5,Del Toro is a magnificent story teller and this labor of love is one of his many masterpieces.
15,3.5/4,A modern-day fable for the ages - one that will live in the hearts of all who see it for years to come.
16,,"Guillermo del Toro's brutal, breathtaking and magical finest hour is not kid-friendly."
17,,"Although Pan's Labyrinth ends in tragedy, it does so to show us that, regardless of what we are told, there are no happy endings in war."
18,5/5,"This is a wildly creative film that plays on your heart and your head, stunning in its rich imagery and ambitious in its themes."
19,,"The film is one of those rare beasts, with a sense of genuine permanency. It beds down in your mind, like it is preparing to live there for a while. It is not pretty, but it is, sometimes, very beautiful."
20,,...all the shivering intensity and satisfying denouement of the darkest Grimm's fairy tale.
21,,Bewitchingly bonkers.
22,,"Pan's Labyrinth isn't a total success, but it confirms that del Toro is one of the few genuinely visionary directors working today. And his best may still be to come."
23,3/5,"It's so audacious and so technically accomplished, and arrives here garlanded with so many radiant superlatives, that I wish I liked it more."
24,4.5/5,[del Toro's] creatures are just wondrous!
25,4.5/5,"The story is a compelling and deeply involving one, and the film is both beautiful, exciting, and sometimes horrifying. The creature effects are superbly handled."
26,,"The cinematography and creature effects are terrific, while the subtitles never get in the way of the story which follows young girl Ofelia (Ivana Baquero) into a nether world which will test her to the limit with a series of dangerous tasks."
27,,"Haunting and visually spectacular, this Spanish fable is not a story for children so much as an illustration of the blurred line between reality and daydreams that manifests with such resonance in childhood."
28,,"In this magical and immensely moving film del Toro presents both the narrative strands as equally real, equally plausible."
29,,"This is an amazing work of cinema by any estimation, and is by far one of the most original and memorable films in recent memory."
30,,"It's less of a labyrinth than a forest path, one that takes you through wonderful scenery but doesn't lead anywhere."
31,,"We are never allowed to get truly lost in Pan's Labyrinth. The fantasy sequences are fetching when they should be intoxicating, while the scenes above ground are largely prosaic."
32,5/5,Watching the unique explosions of Guillermo del Toro's mind realise themselves on screen is truly astounding.
33,A-,"With strong performances by much of the cast, particularly the young Baquero, and almost-seamless special effects, the praise is well earned."
34,10/10,"It sinks deep into your soul and surprises you with its bravery and warmth. As harsh as it is human, filmmaking doesn't get any more enlightened than this."
35,,"We are left with the unsettling knowledge that, in the universe crafted by Guillermo del Toro as well as in our own, we are always surrounded by monsters."
36,4/5,I feel as if I've seen not only the best fantasy movie for ages but also probably the best horror film.
37,3.5/4,"Pan's Labyrinth seems as if it has a direct, unfiltered link to the horrors that can haunt a child's mind. It'll likely lurk in yours for weeks to come."
38,,"Grotesque and macabre thrills here, but not a fantasy-masterpiece. There's a drawn-out-ness to the plot that extends to the time-period being overdrawn. Captain Vidal's an overstated fatherland fascist; the political history becomes morbid melodrama."
39,A+,"This remarkable film spins a yarn about a little girl trapped between a dream world of ghouls and real-life monsters during the Spanish Civil War, and it works remarkably well, simultaneously enchanting and horrifying with almost every frame."
40,5/5,This grim spin on Alice in Wonderland is del Toro's finest work to date.
41,4/4,Pan is clearly not for kids. But it is an eye-popping political fable filled with magic realism -- and real magic.
42,,This darkly attractive film has a painterly quality to its visual look and some impressively elaborate animatronic effects that will delight genre fans.
43,,"Guillermo del Toro has crafted a masterpiece, a terrifying, visually wondrous fairy tale for adults that blends fantasy and gloomy drama into one of the most magical films to come along in years."
44,,"This is a fantasy realm so fully and elegantly realized, it might be the adaptation of a classic novel. Yet the source is Del Toro's own capacious imagination."
45,,"The close-out of Pan's Labyrinth not only underlines its status as one of the great fantasy films of all time, but also its importance as a work of refined social and historical commentary."
46,3/4,"a captivating, albeit unstable, blend of anti-Fascist social commentary and a visually sumptuous childhood fable"
47,,Fully deserving of its place in a distinguished political-fabulist lineage
48,C,"Ofelia's smock is swiped from Alice, her faun from Narnia, and her magic book from Harry Potter, Del Toro sets her fairytale apart with its unrelenting gore and misery."
49,,One of the best films made in the last ten years...
50,3.5/4,"Arresting though they may be, these mind-boggling effects, shot with limpid mystery by Guillermo Navarro and accompanied by chitinous whirs and crackles on the uncanny soundtrack, don't disrupt the double narrative but intensify it."
