id,rating,review_text
1,5,My favourite movie of all time. Genius.
2,4.5,"Hitchcock takes full thematic and stylistic control over what is, on paper, a fairly ridiculous plot. He knows to hone in tight on the emotions that Scottie and Judy experience rather than the situations that bind them. Hitchcock's mastery over psychology as a gateway to suspense (love to grief to obsession) as WELL as using an intriguing hook, rather than simply bloating a neat-sounding gimmick fit for a short film into a feature-length difficulty, turns 'Vertigo' from what might have been a good movie in a lesser director's hands into a unique and beautiful experience, both literally and figuratively, fit not just for the Master of Suspense, but for one of the most one-of-a-kind, intelligent personalities of the 20th century."
3,4.5,“Verigo”I really like this Alfred Hitchcock film and that a lot of the views I have read here on IMDb said it was a little disappointment after the Alfred Hitchcock movie I dialed in for murder. But for me I thought it was really a good film Kim Novak was excellent in this film. Well for that matter the whole cast and though it was not his best work he’s ever done I thought it was still a very good movie and I give it 10 out of 10 stars so if you’re an Alfred Hitchcock fan you will enjoy this movie. Not to give too much away enjoy the film it’s suitable for all ages.
4,5,One of the best Hitchcock.
5,2,"2/5 STARS - I enjoyed Vertigo the first time I saw it when I was younger, but on a rewatch decades later when it returned to the big screen a few weeks ago, it just doesn’t hit the same. The visuals and Saul Bass titles are good, but the rushed romance, the weird obsession stuff, and that contrived ending pull me right out of it. I respect the film, but it’s not one I enjoy anymore or feel the need to ever watch again. Video review: https://youtu.be/VzXKnZeP0mA"
6,5,"Brilliant movie, James Stewart is at once sweet and especially terrifying in this one. There’s so many twists and turns that keep your interest constant and the scenery is beautiful along with the imagery. It’s an immensely touching movie in its meditations on grief, phobias, obsessions and romance. Tremendous!"
7,2,"The Rear Window, which is perfect, was just four years earlier. I personally find it hard to accept this convoluted story of deceit and lust, almost as much as Kim Novak’s fake eye brows."
8,1.5,"I found that the plot had more holes in it than a piece of Swiss cheese. We were not given any explanation when Stewart saw Novak in the window of the hotel and checked and she wasn't there. When Helmore's wife was tossed off the tower, why wouldn't a retired detective, Stewart, check the corpse? How did Helmore's character contrive such a convoluted plot? While some will see Novak's character slipping off the tower at the end of the movie to be the only logical conclusion, it seemed contrived. How realistic was it that Stewart's character would, by chance, encounter, after her apparent suicide, a ""lookalike"" Novak. San Francisco is, indeed, a large city and such an encounter would be illogical. Then, if Stewart had figured out the truth, why was it necessary to revisit the scene of the crime? I suppose the reason could have been that it gave him the opportunity to get over his vertigo. I found the acting and photography to be excellent. For me, the best part of the movie was Bernard Herrmann's score."
9,5,A classic film. An Alfred Hitchcock masterpiece!
10,5,A Hitchcock masterpiece.
11,5,"Great movie, always a great classic"
12,5,Loved seeing this classic on the big screen for the first time! So much is lost in the cinematography on a TV.
13,5,One of few perfect films ever made. Hitchocks finest!
14,2,Confused detective hanging off a roof remains confused throughout a confused plot. James Stewart's wig didn't even sit right in the first minutes of this mélange.
15,0.5,"Likely not to modern sensibilities. I found it reallllyyyyy boring, sorry. Goes on far too long."
16,4.5,Excellent. One of Hitchcock's finest
17,5,"Illusion, delusion, hallucination—features of the distorted human psyche that were depicted in Hitchcock’s Vertigo, all of which seem to derive from obsession, be it with power, freedom, or love. The film not only elucidated the troubles present in an individual mind but also how it generally translates to such complexity beyond what is comprehensible, thereby possessing with it an innate beauty, to which such obsession is inevitable, only maintaining a vicious cycle."
18,4.5,Good but scary to watch
19,4.5,"Alfred Hitchcock’s Vertigo is a succulent psychological thriller that pulls you into its spiral and never lets go. James Stewart’s Scottie Ferguson is a haunted everyman, his obsession with Kim Novak’s enigmatic Madeleine as intoxicating as a perfectly ripe tomato. Hitchcock’s masterful use of color, zooms, and Bernard Herrmann’s swirling score creates a heady blend of suspense and longing. Every frame drips with tension, love, and dread, leaving you deliciously disoriented. This 1958 gem is a juicy classic that still leaves audiences reeling…pluck it from the vine and savor the vertigo!"
20,4.5,"Sure, it’s powerful and an essential film to watch with some amazing elements, but also too long, the revealed plot is hard to justify, and Jimmy Stewart’s heel turn is unpleasant to watch."
21,5,"Hitchcock's Vertigo is a true beauty. The story, twist, cinematography, everything is top notch. I really want to emphasize how this film looks, I mean it's just gorgeous to look at. The performances are also great especially from Kim Novak. Jimmy Stewart is also great. I don't know how Hitchcock makes so many banger movies. He never fails to deliver absolute cinema✋😐🤚"
22,1.5,"With all the praise, I've been wanting to check this out for a long time. Well, the movie is a disappointment. Perhaps it was well received at the time of its original release, but by modern standards, it is too long, dull, uneventful, predictable, and the ending doesn't make much sense. Half the movie is watching the main character drive around with some projected backdrop. Overrated to say the least."
23,5,A very short review here. Vertigo is two hours and eight minutes long. The first two hours and five minutes are very slow and strange. The final three minutes explode like an atomic bomb. KA-BOOM!
24,5,"Unlike 2001, which was a ticket to enlightenment, Alfred Hitchcock's masterpiece is a ticket to insanity."
25,4.5,"Vertigo is a chilling thriller—one of those rare films whose mystery remains unpredictable until the very end. It features top-notch cinematography, a solid performance by James Stewart, and a haunting score composed by Bernard Herrmann."
26,5,Hitchcock's Masterpiece!!!
27,4.5,"Pure atmosphere, somehow the grandfather of ""Lost Highway,"" ""Mulholland Drive,"" and ""Body Double,"" extremely stylishly directed, and Bernard Herrman's score is amazing! And the Technicolor colors! And the shot compositions (especially all those involving mirrors)! The script does seem a bit contrived, though nowhere near as contrived as ""Rear Window,"" which I find increasingly worse with increasing distance (?!). And James Stewart is THE face of Hollywood cinema in the 1940s and '50s, but I still don't consider him a particularly good actor. In any case, I highly recommend it; it already hints at some of the things Hitchcock would later explore in ""Psycho"" and ""Marnie."""
28,4.5,"Excellent psychological thriller which is ahead of its time in a lot of ways. Hitchcock pulls what later becomes one of his signature moves: giving us a main character with questionable morals to whom it gets harder and harder to relate as the film goes on. In this case, James Stewart’s performance anchors the character’s emotions and allows us to infer a lot without a particularly rich backstory. The film is dated in a few ways, too, especially in the way that men and women interact. Sometimes it works to its benefit, making us even more uncomfortable than audiences probably would have been in 1958, but other times it feels incidental and just icky. And personally, I found the ending to be slightly disappointing – a bit of a copout. I would have loved to see it continue its darkening trajectory to really question John’s sanity and morality, rather than taking the easy, tragic way out. Lastly, it almost goes without saying that this film is visually stunning. The colors pop like nothing I’ve seen from this era, and Hitchcock’s masterful work of the camera throughout the city really takes it over the top. In Vertigo, San Francisco itself feels real and alive, like a character in itself, waiting to be explored and felt (on-location filming surely helps this aspect). Overall, a few minor flaws have appeared over the last 65 years, but this film is arguably timeless and set a new standard for thrillers."
29,3.5,1950s San Francisco looked like heaven on earth
30,1.5,Ponderous mystery-melodrama just can't seem to get off the ground. San Francisco locations and a majestic score by Bernard Herrmann are not enough to overcome a lackluster plot and questionable acting.
31,5,"Vertigo - 10/10. Considering the studio is considering a remake with RDJ, I decided to rewatch Vertigo after ages. And damn does this movie hold up oh so well. First off, I don't think people talk about this movie's cinematography as much as they should. The colours are vibrant and so distinct, and Hitchcock has made his cinematographer capture California in such a beautiful airy glow. This movie delves into a man's obsession. It's interesting, because Hitchcock worries more about how it happens than the effects of it. Its slowly taking over Stewart's character, and we see as the movie runs along, the poor man being stricken with a love that ends up taking over his life. Its not a fast paced thriller, but one that grows more tense and more interesting with every minute passing. An all time classic, that DOESN'T need to be remade!"
32,4.5,"A thrilling psychological thriller from Alfred Hitchcock that hooks you with its engaging noir mysteries unraveling with so many legitimately surprising dark twists and turns and some intriguing commentary on mental health that feel mostly ahead of its time. The thoughtful visual cues of the color red and green were cleverly implemented along with a mesmerizing score by Bernard Hermann and some excellent performances by Jimmy Stewart and the rest of the cast (Midge’s characterization and performance felt refreshingly realistic for a female character that isn’t an outright love interest and can casually command the room). There are some beautifully visually stunning art sequences with the vertigo dreams as well as a really hypnotic dream-like feel to the whole movie with the alleged possession scene. The ending was a bit rushed with some questionable conclusions about gender roles and could’ve used one last epilogue, but everything else is expertly crafted as easily one of Alfred Hitchcock’s best works."
33,4.5,Take any great movie of the past. Vertigo as just 1 single example. There has been almost zero movies since 2019 that are even close to as good as any classics of the past! Most movies are only time fillers now and most of which I want my time back! Joker and Top Gun Maverick are only 2 more recent entries I can come up with that achieved a rare 10 out of 10 score! I have yet to see Oppenheimer still as per so super long (but on my short list to see still) and Barbie received a super solid 8.5! Agree? You must! The amount of sequels and lack of new ideas is only PATHETIC! Vertigo is yet another timeless classic from the great mind of Alfred Hitchcock!
34,5,"A stunning film, almost flawless. Expect a slow burner and relish every moment."
