id,user_rating,review_text
1,A,"Memento isn't an easy film, but it gives viewers plenty to ponder. And Pearce's startling performance is unforgettable."
2,,"Memento places you in the mind of the protagonist in a fascinating way—by running it in reverse, you only know as much as the protagonist remembers—and that constantly makes you question what you’ve been told and what you see next."
3,5/5,…one of the most demanding movies ever made…one of cinema’s most ornate puzzle-boxes…
4,5/5,"Very complex detective thriller. Guy Pearce (leads) a terrific cast alongside Carrie Anne Moss. If you want to see the beginnings of how Nolan became such a big director, this is one to watch."
5,,"Memento ends as brilliantly as it begins, merging the two disparate timelines into one, and leaving us with a disquieting insight into human nature – that even fundamentally good people can gaslight themselves."
6,4/5,"Christopher Nolan's sophomore feature, Memento, may confuse audiences with its non-linear narrative but it's every bit as thrilling."
7,3.5/4,"Directed by Christopher Nolan based on a short story by his brother, Jonathan Nolan, this is an intellectual exercise that's unlike anything you've seen lately."
8,4/5,A nifty puzzle worth assembling. The film that put Nolan on the map. A psychological film noir breakthrough. [Full review in Spanish]
9,10/10,"Although the plot itself isn't terribly complex, the editing is so labyrinthine that multiple viewings are almost certainly necessary."
10,3/4,The brain-teasing mystery put Christopher Nolan on the map as a filmmaking force...
11,3.5/4.0,Pearce is positively astounding.
12,,"Nolan's winding timelines and practical stunts are marvels to behold, but they seldom compare to the slow push-in on Leonard's face, as brief but powerful bursts of memory envelop the screen."
13,5/5,"Think of all the ways that a linear film structure stabilizes us - the cause and effect chain of events. But Memento is about a character completely destabilized, so Nolan destabilizes us accordingly in a way maybe no other movie has."
14,,"Memento takes us on a mental trip of recovery, revenge, and remembering."
15,,"Memento would only be half as fun with only one gimmick or the other. Instead, the backward storytelling and the frozen man make for a wonderful pair, combining into something far more redemptive than it sounds."
16,,Memento isn't just a film with a twist ending; its scatterbrained storytelling literally keeps you guessing with every scene.
17,4/4,Christopher Nolan's cinematic breakthrough...
18,,"If the prospect of having to do some of the work yourself doesn't alarm you, then Nolan's first American film is well worth catching, a thriller which is for once authentically Borgesian, to use an overworked qualifier."
19,,"I can't remember when a movie has seemed so clever, strangely affecting and slyly funny at the very same time."
20,3/4,Writer-director Christopher Nolan's second film is one of the most original and ultimately confounding mind games to reach the screen since The Usual Suspects.
21,,"The young British writer and director Christopher Nolan, who has every intention of putting us through the mill, doubles his fun by running the whole story backward."
22,,"The astonishing payoff takes the film to another level entirely, unleashing a battery of existential questions that shed new light on everything that precedes it."
23,,"Pearce's central performance is as compelling as the film's premise and Nolan's execution of it. In Pearce's hands, Leonard is a time bomb with a short fuse."
24,,"You have to pay close attention to Memento, the most original thriller to come along in years -- and one of the best."
25,,"This terrific movie, about one man's quest for vengeance, does everything a thriller is supposed to do: intrigue, involve and keep you guessing."
26,,"If nothing else, Memento is a savvy comment on the queasy uncertainties of the postmodern condition, in which history goes no further back than yesterday's news."
27,5/5,"The mystery requires a lot of concentration, but the stunning final scene is ample reward. Not just an indulgence, the ingenious structure makes the point that memory, although unreliable, is what we depend upon for our sense of reality."
28,1.5/4,This is the kind of movie that gas-bag instructors use to illustrate the concept that one man's reality is another's fiction. But it's puny stuff compared to Kurosawa's Rashomon.
29,B,treats the audience with respect without being overly pretentious
30,5/5,"Occasionally the film trips over its own complexity, but it's tense, devious and evokes Leonard's disorientation quite brilliantly. Operation of heavy machinery after watching is a definite no-no."
31,,"More a puzzle than a meaningful story, it reminds me of how Edmund Wilson compared reading a mystery to eagerly unpacking a box of excelsior, only to find a few rusty nails at the bottom."
32,4/4,"A brilliantly told mindbender, a perfect example of how the right approach to storytelling can elevate a film"
33,3.5/4,"Nolan built a better mousetrap of a neo-noir, using the tricky gimmick of a complex, purposefully disorienting narrative. [Blu-ray]"
34,A-,Memento is one of those jigsaw puzzles whose pieces snap together more tightly with each viewing. Fueling it all is a performance by Guy Pearce that's as indelible as the tattoo ink covering his body.
35,4/5,Innovative movie with a mature premise.
36,4/4,"More than an enigmatic, jittery, occasionally funny treatise on vengeance's fruitlessness, ""Memento"" never abandons an emotional quandary: How can a man unable to feel time expect to heal? Leonard loses himself, as we all do, in habit and repetition."
37,A,"Christopher Nolan's breakthrough feature is a terrific film noir, witty, inventive, thrilling and intriguing from the first frame to the very last."
38,92/100,Nolan's sophomore effort is a near peerless psychological thriller.
39,C-,"""Memento"" is a crime-revenge story that relies on its one big gimmick."
40,4/5,Writer-director Christopher Nolan toys with our minds as each scene ends where the previous scene began in a sort of tidal regression and progression of story and character.
41,A,"The film is cool, contemplative, a puzzle movie in which you see the finished puzzle right up front and then watch as it disassembles itself."
42,4/4,"Of all the ironies which fill the film, the most complementary may be that this is film which will not soon be forgotten."
43,,"I am neither upset nor disturbed by Memento , only vaguely dissatisfied. I simply don't buy Jonathan Nolan's thesis that audiences know all the tropes and tricks of crime thrillers backward and forward."
44,3/4,"Just when you thought film noir was dead and buried, along comes the memorably mind-bending Memento."
45,,"There's grade A work from all concerned, especially Pearce, but in the end this is Nolan's film. And he delivers, with a vengeance."
46,A-,Memento is as bleak as they come. But sometimes staring into humanity's heart of darkness is a healthy thing.
47,4/4,"Fans of film noir and The Usual Suspects will find much to appreciate about Memento, with its circular loop of lost memory."
48,5/5,"Ironically, it's one of the most memorable films so far this year."
49,4/4,Nolan's skill lies in creating an atmosphere for this story.
50,3.5/4,"The brilliance of Christopher Nolan's Memento lies in how such commonplace occurrences, which resonate in every viewer, are stretched to the extreme and packaged in a taut revenge thriller. Movie going hasn't been this much fun for a long, long time."
